i, fps
1, 1
2, 297
3, 403
4, 1253
5, 384
6, 1339
7, 1610
8, 996
9, 1436
10, 1475
11, 1348
12, 666
13, 1823
14, 1781
15, 1763
16, 949
17, 1572
18, 1893
19, 1481
20, 1802
21, 1736
22, 1646
23, 1675
24, 1501
25, 1853
26, 546
27, 1986
28, 1716
29, 1823
30, 1897
31, 1541
32, 1602
33, 1928
34, 1300
35, 1653
36, 1638
37, 1564
38, 1372
39, 1465
40, 1503
41, 1999
42, 1526
43, 1516
44, 1990
45, 1836
46, 1623
47, 1901
48, 1926
49, 1970
50, 1492
51, 1789
52, 1479
53, 1869
54, 1750
55, 1584
56, 1648
57, 1805
58, 2027
59, 1780
60, 2026
61, 1643
62, 1981
63, 1710
64, 1920
65, 1262
66, 1729
67, 1650
68, 1648
69, 1995
70, 1989
71, 2006
72, 1984
73, 2036
74, 2051
75, 1946
76, 2086
77, 1628
78, 1731
79, 1923
80, 1790
81, 1639
82, 1907
83, 1678
84, 1889
85, 1665
86, 1769
87, 2000
88, 1716
89, 1986
90, 1597
91, 1503
92, 1678
93, 1950
94, 1666
95, 2033
96, 1908
97, 1783
98, 1532
99, 1751
100, 1519
101, 1567
102, 1769
103, 1683
104, 1784
105, 1905
106, 1831
107, 1603
108, 1149
109, 1346
110, 1394
111, 467
112, 10
113, 29
114, 30
115, 29
116, 60
117, 60
118, 60
119, 59
120, 61
121, 57
122, 61
123, 60
124, 59
125, 60
126, 60
127, 57
128, 62
129, 59
130, 60
131, 58
132, 60
133, 58
134, 60
135, 54
136, 67
137, 52
138, 69
139, 58
140, 61
141, 58
142, 61
143, 59
144, 50
145, 58
146, 68
147, 61
148, 62
149, 60
150, 57
151, 48
152, 82
153, 52
154, 39
155, 68
156, 100
157, 61
158, 66
159, 57
160, 61
161, 61
162, 60
163, 61
164, 58
165, 61
166, 58
167, 58
168, 56
169, 65
170, 55
171, 64
172, 62
173, 60
174, 57
175, 60
176, 60
177, 59
178, 61
179, 56
180, 63
181, 61
182, 56
183, 60
184, 60
185, 50
186, 65
187, 64
188, 62
189, 56
190, 63
191, 61
192, 58
193, 60
194, 59
195, 61
196, 60
197, 57
198, 61
199, 58
200, 61
201, 55
202, 29
203, 71
204, 56
205, 58
206, 17
207, 109
208, 67
209, 61
210, 59
211, 60
212, 58
213, 61
214, 58
215, 60
216, 61
217, 60
218, 61
219, 62
220, 58
221, 60
222, 58
223, 3
224, 819
225, 359
226, 1152
227, 59
228, 222
229, 987
230, 1037
231, 787
232, 705
233, 874
234, 1166
235, 1773
236, 1802
237, 965
238, 1822
239, 713
240, 529
241, 1266
242, 1828
243, 1014
244, 1436
245, 920
246, 1030
247, 1029
248, 954
249, 1146
250, 1687
251, 1529
252, 1029
253, 1039
254, 1082
255, 986
256, 847
257, 726
258, 565
259, 626
260, 642
261, 603
262, 827
263, 882
264, 662
265, 1186
266, 1781
267, 755
268, 841
269, 839
270, 903
271, 725
272, 30
273, 29
274, 30
275, 29
276, 60
277, 59
278, 57
279, 66
280, 60
281, 60
282, 60
283, 60
284, 54
285, 62
286, 59
287, 60
288, 61
289, 57
290, 60
291, 63
292, 59
293, 60
294, 57
295, 64
296, 58
297, 61
