i, fps
1, 1
2, 59
3, 267
4, 57
5, 58
6, 49
7, 19
8, 34
9, 29
10, 55
11, 57
12, 60
13, 60
14, 62
15, 60
16, 62
17, 59
18, 60
19, 58
20, 61
21, 59
22, 59
23, 61
24, 61
25, 59
26, 59
27, 59
28, 60
29, 58
30, 61
31, 60
32, 58
33, 60
34, 59
35, 62
36, 59
37, 59
38, 58
39, 61
40, 59
41, 61
42, 58
43, 61
44, 59
45, 61
46, 60
47, 58
48, 60
49, 59
50, 55
51, 63
52, 60
53, 60
54, 48
55, 74
56, 62
57, 60
58, 60
59, 60
60, 60
61, 59
62, 60
63, 60
64, 59
65, 60
66, 59
67, 59
68, 58
69, 61
70, 60
71, 60
72, 59
73, 59
74, 61
75, 59
76, 60
77, 59
78, 60
79, 59
80, 60
81, 60
82, 59
83, 57
84, 61
85, 60
86, 59
87, 60
88, 60
89, 60
90, 60
91, 59
92, 58
93, 61
94, 60
95, 60
96, 59
97, 60
98, 58
99, 61
100, 60
101, 59
102, 60
103, 60
104, 58
105, 60
106, 60
107, 60
108, 60
109, 59
110, 59
111, 60
112, 59
113, 58
114, 61
115, 60
116, 59
117, 59
118, 56
119, 63
120, 60
121, 60
122, 59
123, 59
124, 60
125, 59
126, 60
127, 60
128, 58
129, 61
130, 58
131, 61
132, 60
133, 60
134, 60
135, 59
136, 60
137, 59
138, 60
139, 60
140, 59
141, 60
142, 60
143, 58
144, 61
145, 60
146, 60
147, 59
148, 60
149, 59
150, 59
151, 60
152, 60
153, 59
154, 60
155, 59
156, 60
157, 60
158, 58
159, 60
160, 61
161, 60
162, 59
163, 60
164, 60
165, 59
166, 60
167, 60
168, 58
169, 61
170, 60
171, 51
172, 59
173, 55
174, 65
175, 60
176, 60
177, 59
178, 59
179, 59
180, 60
181, 55
182, 65
183, 59
184, 58
185, 58
186, 62
187, 60
188, 55
189, 65
190, 59
191, 59
192, 60
193, 60
194, 55
195, 65
196, 59
197, 60
198, 59
199, 59
200, 59
201, 59
202, 58
203, 61
204, 59
205, 55
206, 58
207, 63
208, 64
209, 61
210, 60
211, 59
212, 58
213, 59
214, 60
215, 57
216, 58
217, 61
218, 54
219, 66
220, 62
221, 54
222, 65
223, 59
224, 59
225, 61
226, 56
227, 61
228, 58
229, 60
230, 62
231, 57
232, 60
233, 57
234, 59
235, 65
236, 59
237, 58
238, 60
239, 58
240, 61
241, 58
242, 60
243, 59
244, 61
245, 60
246, 54
247, 66
248, 53
249, 62
250, 63
251, 58
252, 65
253, 55
254, 57
255, 63
256, 51
257, 71
258, 66
259, 52
260, 68
261, 59
262, 61
263, 56
264, 51
265, 58
266, 60
267, 59
268, 60
269, 59
270, 54
271, 59
272, 66
273, 59
274, 60
275, 54
276, 58
277, 64
278, 58
279, 66
280, 60
281, 59
282, 59
283, 55
284, 66
285, 59
286, 60
287, 59
288, 106
289, 60
290, 59
291, 60
292, 59
293, 58
294, 61
295, 59
296, 60
297, 60
298, 59
299, 60
300, 59
301, 59
302, 60
303, 59
304, 59
305, 60
306, 60
307, 59
308, 58
309, 59
310, 61
311, 60
312, 60
313, 60
314, 59
315, 59
316, 59
317, 60
318, 59
319, 60
320, 59
321, 60
322, 58
323, 59
324, 61
325, 60
326, 59
327, 59
328, 60
329, 60
330, 59
331, 59
332, 59
333, 42
334, 93
335, 64
336, 58
337, 60
338, 59
339, 61
340, 61
341, 51
342, 66
343, 61
344, 58
345, 60
346, 59
347, 59
348, 62
349, 57
350, 60
351, 59
352, 59
353, 60
354, 59
355, 60
356, 60
357, 59
358, 58
359, 61
360, 59
361, 60
362, 60
363, 59
364, 60
365, 60
366, 60
367, 59
368, 59
369, 61
370, 59
371, 60
372, 60
373, 60
374, 59
375, 60
376, 60
377, 59
378, 60
379, 59
380, 59
381, 60
382, 60
383, 59
384, 60
385, 60
386, 57
387, 58
388, 54
389, 56
390, 72
391, 50
392, 62
393, 70
394, 52
395, 74
396, 47
397, 60
398, 55
399, 65
400, 59
401, 59
402, 59
403, 60
404, 59
405, 67
406, 53
407, 76
408, 51
409, 72
410, 63
411, 62
412, 52
413, 62
414, 60
415, 63
416, 59
417, 61
418, 58
419, 55
420, 64
421, 57
422, 63
423, 61
424, 61
425, 60
426, 60
427, 60
428, 57
429, 61
430, 60
431, 59
432, 60
433, 60
434, 59
435, 60
436, 57
437, 61
438, 60
439, 60
440, 60
