i, fps
1, 1
2, 265
3, 817
4, 1276
5, 1300
6, 1451
7, 1318
8, 961
9, 1384
10, 1217
11, 1436
12, 1381
13, 1269
14, 1291
15, 361
16, 825
17, 846
18, 1577
19, 1364
20, 1304
21, 1517
22, 1352
23, 1194
24, 1365
25, 1422
26, 1181
27, 1327
28, 1313
29, 1560
30, 1384
31, 1513
32, 1241
33, 1567
34, 1256
35, 1526
36, 1444
37, 1407
38, 1445
39, 1425
40, 1412
41, 1108
42, 1574
43, 1272
44, 1308
45, 1317
46, 1626
47, 1759
48, 1578
49, 1483
50, 1708
51, 1398
52, 1275
53, 1021
54, 863
55, 631
56, 873
57, 1253
58, 1095
59, 1552
60, 1301
61, 1507
62, 1393
63, 1319
64, 1156
65, 1359
66, 1345
67, 1228
68, 1135
69, 1069
70, 1046
71, 1178
72, 1268
73, 1462
74, 1367
75, 976
76, 1153
77, 1282
78, 1434
79, 1329
80, 1212
81, 1230
82, 1358
83, 1274
84, 1220
85, 907
86, 1186
87, 1143
88, 1185
89, 1309
90, 920
91, 1039
92, 1261
93, 1254
94, 876
95, 1295
96, 1270
97, 57
98, 30
99, 19
100, 30
101, 61
102, 59
103, 61
104, 60
105, 56
106, 63
107, 58
108, 59
109, 61
110, 61
111, 60
112, 57
113, 62
114, 54
115, 52
116, 75
117, 54
118, 62
119, 62
120, 60
121, 59
122, 63
123, 58
124, 61
125, 59
126, 60
127, 60
128, 59
129, 60
130, 58
131, 62
132, 58
133, 62
134, 59
135, 60
136, 60
137, 59
138, 60
139, 59
140, 60
141, 60
142, 59
143, 58
144, 59
145, 62
146, 60
147, 59
148, 60
149, 60
150, 59
151, 60
152, 59
153, 60
154, 55
155, 60
156, 62
157, 54
158, 67
159, 60
160, 60
161, 60
162, 59
163, 60
164, 60
165, 60
166, 60
167, 59
168, 60
169, 60
170, 58
171, 61
172, 60
173, 59
174, 60
175, 60
176, 57
177, 61
178, 60
179, 56
180, 62
181, 60
182, 60
183, 57
184, 62
185, 60
186, 60
187, 60
188, 60
189, 60
190, 59
191, 60
192, 59
193, 60
194, 58
195, 60
196, 59
197, 60
198, 59
199, 60
200, 59
201, 60
202, 60
203, 59
204, 60
205, 60
206, 59
207, 60
208, 59
209, 57
210, 62
211, 60
212, 60
213, 60
214, 59
215, 60
216, 59
217, 60
218, 60
219, 59
220, 59
221, 55
222, 65
223, 60
224, 59
225, 59
226, 60
227, 59
228, 60
229, 60
230, 59
231, 60
232, 59
233, 59
234, 59
235, 60
236, 60
237, 59
238, 60
239, 58
240, 59
241, 59
242, 61
243, 60
244, 59
245, 60
246, 59
247, 59
248, 60
249, 60
250, 60
251, 59
252, 60
253, 60
254, 57
255, 61
256, 59
257, 60
258, 60
259, 59
260, 58
261, 62
262, 60
263, 59
264, 60
265, 60
266, 59
267, 59
268, 60
269, 57
270, 61
271, 60
272, 56
273, 63
274, 61
275, 60
276, 60
277, 59
278, 58
279, 61
280, 60
281, 59
282, 60
283, 56
284, 61
285, 60
286, 59
287, 60
288, 61
289, 59
290, 59
291, 59
292, 60
293, 60
294, 59
295, 59
296, 56
297, 61
298, 58
299, 61
300, 60
301, 58
302, 61
303, 58
304, 62
305, 59
306, 59
307, 58
308, 58
309, 60
310, 60
311, 60
312, 59
313, 59
314, 51
315, 62
316, 61
317, 64
318, 57
319, 63
320, 56
321, 61
322, 65
323, 59
324, 60
325, 59
326, 57
327, 61
328, 60
329, 60
330, 58
331, 62
332, 59
333, 55
334, 57
335, 66
336, 61
337, 60
338, 55
339, 58
340, 66
341, 56
342, 60
343, 58
344, 61
345, 62
346, 60
347, 56
348, 63
349, 10
350, 1336
351, 1638
352, 1670
353, 141
354, 63
355, 168
356, 960
357, 2230
358, 1989
359, 1950
360, 2137
361, 2475
