Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
1, 1, 148262912, 8.66629
2, 57, 150089728, 0
3, 153, 150982656, 12.4021
4, 50, 151236608, 16.2709
5, 59, 150749184, 15.321
6, 58, 153411584, 15.7627
7, 61, 148439040, 2.61655
8, 10, 148467712, 0
9, 29, 148467712, 0
10, 29, 148541440, 0
11, 59, 148545536, 22.9796
12, 61, 148545536, 0
13, 60, 148545536, 0
14, 60, 148545536, 0
15, 63, 148545536, 0
16, 56, 148561920, 0
17, 61, 148561920, 0
18, 60, 148561920, 0
19, 61, 148561920, 0
20, 60, 148561920, 0
21, 60, 148561920, 0
22, 59, 148684800, 0
23, 59, 148684800, 0
24, 58, 148684800, 0
25, 59, 148684800, 0
26, 61, 148684800, 0
27, 59, 148684800, 7.88129
28, 60, 148684800, 0
29, 58, 148684800, 0
30, 60, 148684800, 0
31, 58, 148684800, 0
32, 62, 148684800, 0
33, 61, 148684800, 0
34, 59, 148684800, 0
35, 57, 148684800, 0
36, 57, 148684800, 0
37, 63, 148684800, 0
38, 62, 148684800, 0
39, 58, 148684800, 0
40, 61, 148684800, 0
41, 58, 148684800, 0
42, 60, 148684800, 2.60429
43, 19, 148684800, 0
44, 57, 148684800, 0
45, 63, 148684800, 0
46, 62, 148684800, 0
47, 61, 148684800, 0
48, 59, 148684800, 0
49, 59, 148684800, 0
50, 61, 148684800, 0
51, 59, 148684800, 0
52, 59, 148684800, 0
53, 59, 148684800, 0
54, 60, 148684800, 0
55, 60, 148684800, 8.12163
56, 61, 148684800, 7.65918
57, 59, 148684800, 0
58, 60, 148684800, 0
59, 60, 148684800, 0
60, 58, 148684800, 0
61, 61, 148684800, 0
62, 60, 148684800, 0
63, 60, 148684800, 0
64, 59, 148684800, 0
65, 60, 148684800, 0
66, 59, 148684800, 0
67, 60, 148684800, 0
68, 59, 148684800, 0
69, 60, 148684800, 0
70, 60, 148684800, 21.0434
71, 57, 148684800, 0
72, 62, 148684800, 0
73, 57, 148684800, 0
74, 63, 148684800, 0
75, 57, 148684800, 0
76, 62, 148684800, 0
77, 59, 148684800, 0
78, 60, 148684800, 0
79, 60, 148684800, 0
80, 60, 148684800, 0
81, 59, 148684800, 0
82, 59, 148684800, 0
83, 60, 148684800, 0
84, 60, 148684800, 0
85, 58, 148684800, 7.98525
86, 59, 148684800, 8.13111
87, 61, 148684800, 0
88, 60, 148684800, 0
89, 60, 148684800, 0
90, 58, 148684800, 0
91, 61, 148684800, 0
92, 60, 148684800, 0
93, 59, 148684800, 0
94, 58, 148684800, 0
95, 61, 148684800, 0
96, 59, 148684800, 0
97, 60, 148684800, 0
98, 58, 148684800, 0
99, 59, 148684800, 0
100, 61, 148684800, 0
101, 60, 148684800, 0
102, 59, 148684800, 7.65522
103, 60, 148684800, 0
104, 59, 148684800, 0
105, 58, 148684800, 0
106, 62, 148684800, 0
107, 59, 148684800, 0
108, 60, 148684800, 0
109, 59, 148684800, 0
110, 57, 148684800, 0
111, 62, 148684800, 0
112, 60, 148684800, 0
113, 60, 148684800, 0
114, 60, 148684800, 0
115, 59, 148684800, 0
116, 60, 148684800, 7.65256
117, 60, 148684800, 0
118, 60, 148684800, 0
119, 59, 148684800, 0
120, 58, 148684800, 0
121, 62, 148684800, 0
122, 57, 148684800, 0
123, 62, 148684800, 0
124, 60, 148684800, 0
125, 59, 148684800, 0
126, 59, 148684800, 0
127, 60, 148684800, 0
128, 60, 148684800, 0
129, 60, 148684800, 0
130, 59, 148684800, 0
131, 60, 148684800, 0
132, 60, 148684800, 0
133, 60, 148684800, 0
134, 59, 148684800, 0
135, 58, 148684800, 0
136, 61, 148684800, 0
137, 59, 148684800, 0
138, 60, 148684800, 0
139, 60, 148684800, 0
140, 60, 148684800, 0
141, 59, 148684800, 0
142, 60, 148684800, 0
143, 60, 148684800, 0
144, 59, 148684800, 0
145, 60, 148684800, 0
146, 60, 148684800, 8.08883
147, 59, 148684800, 7.25067
148, 57, 148684800, 0
149, 62, 148684800, 0
150, 57, 148684800, 0
151, 61, 148684800, 0
152, 60, 148684800, 0
153, 60, 148684800, 0
154, 59, 148684800, 0
155, 60, 148684800, 0
156, 59, 148684800, 0
157, 60, 148684800, 0
158, 59, 148684800, 0
159, 59, 148684800, 0
160, 59, 148684800, 0
161, 58, 148684800, 16.2344
162, 62, 148684800, 0
163, 59, 148684800, 0
164, 60, 148684800, 0
165, 57, 148684800, 0
166, 62, 148684800, 0
167, 60, 148684800, 0
168, 60, 148684800, 0
169, 59, 148684800, 0
170, 59, 148684800, 0
171, 60, 148684800, 0
172, 59, 148684800, 0
173, 59, 148684800, 0
174, 52, 148684800, 0
175, 63, 148684800, 8.1396
176, 59, 148684800, 0
177, 60, 148684800, 0
178, 59, 148684800, 0
179, 58, 148684800, 0
180, 58, 148684800, 0
181, 63, 148684800, 0
182, 57, 148684800, 0
183, 61, 148684800, 0
184, 60, 148684800, 0
185, 59, 148692992, 0
186, 57, 148692992, 0
187, 63, 148692992, 0
188, 59, 148692992, 0
189, 60, 148692992, 0
190, 59, 148692992, 8.12385
191, 60, 148692992, 0
192, 59, 148692992, 0
193, 60, 148692992, 0
194, 58, 148692992, 0
195, 58, 148692992, 0
196, 63, 148692992, 0
197, 60, 148692992, 0
198, 57, 148692992, 0
199, 60, 148692992, 0
200, 61, 148692992, 0
201, 60, 148692992, 0
202, 59, 148692992, 0
203, 59, 148692992, 0
204, 60, 148692992, 0
205, 60, 148692992, 0
206, 60, 148692992, 0
207, 59, 148692992, 0
208, 60, 148692992, 0
209, 60, 148692992, 0
210, 56, 148692992, 0
211, 61, 148692992, 0
212, 59, 148692992, 0
213, 62, 148692992, 0
214, 60, 148692992, 0
215, 59, 148692992, 0
216, 60, 148692992, 0
217, 60, 148692992, 0
218, 59, 148692992, 0
219, 60, 148692992, 0
220, 59, 148692992, 0
221, 60, 148692992, 8.03998
222, 60, 148692992, 0
223, 60, 148692992, 0
224, 57, 148692992, 0
225, 59, 148692992, 0
226, 62, 148692992, 0
227, 60, 148692992, 0
228, 60, 148692992, 0
229, 60, 148692992, 0
230, 60, 148692992, 0
231, 59, 148692992, 0
232, 60, 148692992, 0
233, 60, 148692992, 0
234, 60, 148692992, 0
235, 59, 148692992, 0
236, 60, 148692992, 6.98925
237, 54, 148692992, 0
238, 63, 148692992, 0
239, 62, 148692992, 0
240, 56, 148692992, 0
241, 60, 148692992, 0
242, 62, 148692992, 0
243, 60, 148692992, 0
244, 60, 148692992, 0
245, 59, 148692992, 0
246, 58, 148692992, 0
247, 59, 148692992, 0
248, 62, 148692992, 0
249, 57, 148692992, 8.10883
250, 60, 148692992, 15.7175
251, 62, 148692992, 0
252, 54, 148692992, 0
253, 67, 148692992, 0
254, 58, 148692992, 0
255, 58, 148692992, 0
256, 63, 148692992, 0
257, 60, 148692992, 0
258, 59, 148692992, 0
259, 59, 148692992, 0
260, 60, 148692992, 0
261, 58, 148692992, 0
262, 58, 148692992, 0
263, 63, 148692992, 0
264, 59, 148692992, 0
265, 60, 148692992, 0
266, 60, 148692992, 22.3559
267, 59, 148692992, 0
268, 60, 148692992, 0
269, 58, 148697088, 0
270, 58, 148697088, 0
271, 63, 148697088, 0
272, 60, 148697088, 0
273, 60, 148697088, 0
274, 56, 148697088, 0
275, 63, 148697088, 0
276, 54, 148697088, 0
277, 61, 148697088, 0
