Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
1, 1, 79593472, 4.21954
2, 223, 79785984, 32.5456
3, 569, 79785984, 0
4, 915, 79790080, 0
5, 1095, 79790080, 0
6, 1386, 79790080, 0
7, 1501, 79818752, 0
8, 879, 79822848, 0
9, 1292, 79822848, -nan(ind)
10, 1456, 79822848, 0
11, 1388, 79822848, 0
12, 1435, 79822848, 0
13, 813, 79835136, 0
14, 1488, 79835136, -nan(ind)
15, 1365, 79851520, 0
16, 795, 79851520, -nan(ind)
17, 1316, 79851520, 0
18, 1437, 79851520, 0
19, 1441, 79851520, -nan(ind)
20, 1583, 79851520, 0
21, 1502, 80269312, 51.6905
22, 380, 80269312, 0
23, 1281, 80269312, 0
24, 1614, 80269312, -nan(ind)
25, 1687, 80269312, 0
26, 1285, 80269312, 0
27, 1398, 80269312, -nan(ind)
28, 1315, 80269312, 0
29, 1400, 80269312, 0
30, 1372, 80269312, 0
31, 1459, 80269312, -nan(ind)
32, 1518, 80269312, 0
33, 1631, 80269312, 0
34, 1591, 80269312, -nan(ind)
35, 1728, 80269312, 0
36, 1563, 80269312, -nan(ind)
37, 1651, 80269312, 0
38, 1336, 80269312, 0
39, 1057, 80269312, 0
40, 1212, 80269312, 0
41, 1006, 80269312, 0
42, 1033, 80269312, 0
43, 1206, 80687104, 0
44, 450, 80687104, 0
45, 1331, 80687104, -nan(ind)
46, 1629, 80687104, 0
47, 1544, 80687104, 0
48, 1323, 80687104, -nan(ind)
49, 1698, 80687104, 0
50, 1437, 80687104, 0
51, 1616, 80687104, -nan(ind)
52, 1468, 80687104, 0
53, 1488, 80687104, 0
54, 1494, 80687104, -nan(ind)
55, 1629, 80687104, 0
56, 1336, 80687104, 0
57, 1337, 80687104, -nan(ind)
58, 1340, 80687104, 0
59, 1380, 80687104, 130.195
60, 1328, 80687104, 0
61, 1494, 80687104, -nan(ind)
62, 1397, 80687104, 0
63, 1403, 80687104, 0
64, 1256, 80687104, 0
65, 1300, 80687104, -nan(ind)
66, 1423, 80687104, 0
67, 1495, 80687104, 0
68, 1471, 80687104, -nan(ind)
69, 1432, 80687104, 0
70, 1568, 80687104, 0
71, 1662, 80687104, 0
72, 1314, 80687104, -nan(ind)
73, 1440, 80687104, 0
74, 805, 80687104, -nan(ind)
75, 1626, 80687104, 0
76, 1236, 80687104, 0
77, 1129, 80687104, 0
78, 1160, 80687104, 0
79, 1372, 80687104, 0
80, 1073, 80687104, -nan(ind)
81, 1346, 80687104, 130.026
82, 1208, 80687104, 0
83, 1290, 80687104, 0
84, 1257, 80687104, 0
85, 898, 80687104, 0
86, 1329, 81104896, 0
87, 465, 81104896, 0
88, 20, 81104896, 0
89, 20, 81104896, 0
90, 26, 81170432, 0
91, 33, 81174528, 0
92, 62, 81174528, 0
93, 59, 81174528, 0
94, 61, 81174528, 0
95, 59, 81174528, 0
96, 56, 81174528, 0
97, 58, 81174528, 0
98, 62, 81174528, 0
99, 61, 81174528, 0
100, 60, 81174528, 0
101, 58, 81174528, 0
102, 62, 81174528, 0
103, 58, 81174528, 0
104, 61, 81174528, 0
105, 57, 81174528, 0
106, 57, 81174528, 0
107, 62, 81174528, 13.7053
108, 53, 81174528, 0
109, 67, 81174528, 0
110, 60, 81174528, 0
111, 59, 81174528, 0
112, 61, 81174528, 0
113, 60, 81174528, 0
114, 62, 81174528, 0
115, 57, 81174528, 0
116, 60, 81174528, 0
117, 61, 81174528, 0
118, 59, 81174528, 0
119, 59, 81174528, 0
120, 61, 81174528, 0
121, 57, 81174528, 0
122, 61, 81174528, 7.23392
123, 53, 81174528, 0
124, 65, 81174528, 0
125, 63, 81174528, 0
126, 59, 81174528, 0
127, 60, 81174528, 0
128, 60, 81174528, 0
129, 59, 81174528, 0
130, 61, 81174528, 0
131, 58, 81174528, 0
132, 59, 81174528, 0
133, 60, 81174528, 0
134, 59, 81174528, 0
135, 60, 81174528, 0
136, 60, 81174528, 0
137, 61, 81174528, 7.65999
138, 60, 81174528, 0
139, 60, 81174528, 0
140, 59, 81174528, 0
141, 59, 81174528, 0
142, 61, 81174528, 0
143, 59, 81174528, 0
144, 59, 81174528, 0
145, 60, 81174528, 0
146, 58, 81174528, 0
147, 56, 81174528, 0
148, 56, 81174528, 0
149, 23, 81174528, 0
150, 137, 81174528, 0
151, 69, 81174528, 0
152, 59, 81174528, 0
153, 60, 81174528, 0
154, 60, 81174528, 0
155, 59, 81174528, 0
156, 59, 81174528, 0
157, 59, 81174528, 0
158, 61, 81174528, 0
159, 60, 81174528, 0
160, 58, 81174528, 0
161, 60, 81174528, 0
162, 59, 81174528, 0
163, 60, 81174528, 0
164, 59, 81174528, 0
165, 59, 81178624, 0
166, 61, 81182720, 7.60012
167, 57, 81182720, 0
168, 62, 81182720, 0
169, 59, 81182720, 0
