Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
1, 1, 79601664, 3.90839
2, 172, 79765504, 0
3, 412, 79798272, 0
4, 1100, 79798272, -nan(ind)
5, 1547, 79798272, 0
6, 1410, 79798272, 0
7, 1382, 79826944, 0
8, 812, 79831040, 0
9, 1390, 79831040, 0
10, 1047, 79831040, -nan(ind)
11, 541, 79843328, 65.1889
12, 1355, 79843328, 0
13, 946, 79843328, 0
14, 1165, 79843328, 0
15, 1217, 79859712, 0
16, 756, 79859712, 0
17, 1647, 79859712, -nan(ind)
18, 1564, 79859712, 0
19, 1464, 79859712, 0
20, 1498, 79859712, -nan(ind)
21, 1686, 79859712, 0
22, 1739, 79859712, 0
23, 1725, 79859712, -nan(ind)
24, 1752, 79859712, 0
25, 1626, 79859712, -nan(ind)
26, 1789, 79859712, 0
27, 1831, 79859712, -nan(ind)
28, 1603, 79859712, 0
29, 1712, 79859712, 0
30, 1718, 79859712, -nan(ind)
31, 1777, 79859712, 0
32, 1685, 79859712, -nan(ind)
33, 1769, 79859712, 0
34, 1889, 79859712, -nan(ind)
35, 1878, 79859712, 0
36, 1745, 79859712, 0
37, 1716, 80277504, 0
38, 458, 80277504, -nan(ind)
39, 1800, 80277504, 0
40, 1903, 80277504, -nan(ind)
41, 1889, 80277504, 0
42, 1719, 80277504, 0
43, 1676, 80277504, -nan(ind)
44, 1473, 80277504, 0
45, 1682, 80277504, -nan(ind)
46, 1855, 80277504, 0
47, 1822, 80277504, -nan(ind)
48, 1801, 80277504, 0
49, 1658, 80277504, 0
50, 1828, 80277504, -nan(ind)
51, 1823, 80277504, 0
52, 1473, 80277504, -nan(ind)
53, 1749, 80277504, 0
54, 1704, 80277504, 0
55, 1693, 80277504, -nan(ind)
56, 1403, 80277504, 0
57, 1735, 80277504, 0
58, 1515, 80277504, 130.902
59, 1695, 80277504, -nan(ind)
60, 1507, 80277504, 0
61, 1864, 80277504, -nan(ind)
62, 1466, 80277504, 0
63, 1255, 80277504, 0
64, 1547, 81113088, 0
65, 14, 81113088, 0
66, 30, 81113088, 0
67, 32, 81178624, 0
68, 29, 81182720, 0
69, 60, 81182720, 0
70, 60, 81182720, 0
71, 60, 81182720, 0
72, 59, 81182720, 0
73, 58, 81182720, 0
74, 58, 81182720, 0
75, 61, 81182720, 0
76, 48, 81182720, 0
77, 66, 81182720, 0
78, 70, 81182720, 0
79, 58, 81182720, 0
80, 57, 81182720, 0
81, 59, 81182720, 0
82, 64, 81182720, 0
83, 60, 81182720, 0
84, 61, 81182720, 0
85, 59, 81182720, 7.65994
86, 60, 81182720, 0
87, 59, 81182720, 0
88, 57, 81182720, 0
89, 62, 81182720, 0
90, 53, 81182720, 0
91, 54, 81182720, 0
92, 72, 81182720, 0
93, 62, 81182720, 0
94, 59, 81182720, 0
95, 61, 81182720, 0
96, 58, 81182720, 0
97, 59, 81182720, 0
98, 59, 81182720, 7.66071
99, 55, 81182720, 0
100, 65, 81182720, 7.65936
101, 57, 81182720, 0
102, 62, 81182720, 0
103, 61, 81182720, 0
104, 60, 81182720, 0
105, 59, 81182720, 0
106, 59, 81182720, 0
107, 60, 81182720, 0
108, 59, 81182720, 0
109, 59, 81182720, 0
110, 60, 81182720, 0
111, 60, 81182720, 0
112, 58, 81182720, 0
113, 60, 81182720, 0
114, 56, 81182720, 0
115, 63, 81182720, 7.43156
116, 59, 81182720, 0
117, 62, 81182720, 0
118, 58, 81182720, 0
119, 60, 81182720, 0
120, 60, 81182720, 0
121, 59, 81182720, 0
122, 59, 81182720, 0
123, 60, 81182720, 0
124, 59, 81182720, 0
125, 58, 81182720, 0
126, 61, 81182720, 0
127, 61, 81182720, 0
128, 58, 81182720, 0
129, 60, 81182720, 0
130, 60, 81182720, 22.9792
131, 60, 81182720, 0
132, 60, 81182720, 0
133, 59, 81182720, 0
134, 60, 81182720, 0
135, 59, 81182720, 0
136, 59, 81182720, 0
137, 29, 81182720, 0
138, 64, 81182720, 0
139, 58, 81182720, 0
140, 56, 81182720, 0
141, 20, 81182720, 15.6204
142, 61, 81182720, 0
143, 64, 81182720, 7.42215
144, 58, 81182720, 0
145, 60, 81182720, 0
146, 59, 81182720, 0
147, 60, 81182720, 0
148, 59, 81182720, 0
149, 59, 81182720, 0
150, 61, 81182720, 0
151, 59, 81182720, 0
152, 60, 81182720, 0
153, 57, 81182720, 0
154, 62, 81182720, 0
155, 60, 81182720, 0
156, 60, 81182720, 0
157, 60, 81182720, 7.65882
158, 58, 81182720, 0
159, 59, 81182720, 0
160, 62, 81182720, 0
161, 59, 81182720, 0
162, 59, 81182720, 0
163, 60, 81182720, 0
164, 59, 81182720, 0
165, 57, 81182720, 0
166, 62, 81182720, 0
167, 60, 81182720, 0
168, 59, 81182720, 0
169, 60, 81182720, 0
170, 60, 81182720, 0
171, 59, 81182720, 0
172, 60, 81182720, 0
173, 61, 81182720, 0
174, 57, 81182720, 0
175, 61, 81182720, 0
176, 60, 81182720, 0
177, 60, 81182720, 0
178, 59, 81182720, 0
179, 59, 81182720, 0
180, 59, 81182720, 0
181, 60, 81182720, 0
182, 59, 81190912, 0
183, 59, 81190912, 0
184, 60, 81190912, 0
185, 60, 81190912, 0
186, 59, 81190912, 0
187, 60, 81190912, 0
188, 60, 81190912, 7.65981
189, 59, 81190912, 0
190, 59, 81190912, 0
