Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
1, 1, 79527936, 4.51281
2, 343, 79728640, 0
3, 882, 79732736, 0
4, 1469, 79732736, -nan(ind)
5, 1533, 79732736, 0
6, 1445, 79732736, 0
7, 1431, 79761408, 0
8, 881, 79765504, 0
9, 1530, 79765504, -nan(ind)
10, 1414, 79765504, 0
11, 1084, 80183296, 0
12, 261, 80195584, 0
13, 985, 80195584, 0
14, 1014, 80195584, 0
15, 1210, 80211968, 0
16, 818, 80211968, 0
17, 1175, 80211968, 0
18, 1270, 80211968, 0
19, 857, 80211968, 0
20, 1157, 80211968, -nan(ind)
21, 1300, 80211968, 130.443
22, 1004, 80211968, 0
23, 1072, 80211968, 0
24, 1397, 80211968, 0
25, 1736, 80211968, -nan(ind)
26, 1430, 80211968, 0
27, 641, 80211968, 0
28, 1056, 80211968, 0
29, 1238, 80211968, 0
30, 1195, 80211968, 0
31, 1022, 80211968, 0
32, 1272, 80211968, -nan(ind)
33, 1807, 80211968, 0
34, 1657, 80211968, -nan(ind)
35, 1739, 80211968, 0
36, 1734, 80211968, 0
37, 1773, 80211968, -nan(ind)
38, 1791, 80211968, 0
39, 1774, 80211968, -nan(ind)
40, 1701, 80211968, 0
41, 1724, 80211968, 0
42, 909, 80211968, 0
43, 1035, 80211968, 0
44, 984, 80211968, 0
45, 977, 80211968, 0
46, 979, 80211968, 0
47, 663, 80211968, 0
48, 943, 80211968, 0
49, 1288, 80211968, 0
50, 1481, 80211968, 0
51, 1583, 80211968, -nan(ind)
52, 1427, 80211968, 0
53, 1491, 80211968, 0
54, 1337, 80211968, -nan(ind)
55, 922, 80211968, 0
56, 1472, 80211968, 0
57, 1454, 80211968, 0
58, 1508, 80211968, -nan(ind)
59, 1507, 80211968, 0
60, 1631, 80211968, 130.391
61, 1478, 80211968, -nan(ind)
62, 1486, 80211968, 0
63, 1482, 80211968, 0
64, 1033, 80211968, 0
65, 1065, 80211968, 0
66, 870, 80211968, -nan(ind)
67, 1084, 80211968, 0
68, 976, 80211968, 0
69, 693, 80211968, 0
70, 988, 80211968, 0
71, 817, 80211968, 0
72, 1196, 80211968, 0
73, 942, 80211968, 0
74, 1350, 80211968, 0
75, 1144, 80211968, -nan(ind)
76, 1270, 80211968, 0
77, 659, 80211968, 0
78, 1375, 80211968, -nan(ind)
79, 1498, 80211968, 0
80, 1186, 80211968, 0
81, 1581, 80211968, -nan(ind)
82, 1602, 80211968, 0
83, 1365, 80211968, 0
84, 1411, 80211968, -nan(ind)
85, 1397, 80211968, 0
86, 1508, 80211968, 0
87, 1060, 80211968, 0
88, 1527, 81063936, 0
89, 55, 81063936, 0
90, 31, 81063936, 0
91, 19, 81129472, 0
92, 29, 81133568, 0
93, 54, 81133568, 0
94, 72, 81133568, 0
95, 47, 81133568, 0
96, 71, 81133568, 0
97, 62, 81133568, 0
98, 62, 81133568, 0
99, 61, 81133568, 0
100, 60, 81133568, 0
101, 60, 81133568, 0
102, 61, 81133568, 0
103, 58, 81133568, 0
104, 54, 81133568, 0
105, 62, 81133568, 8.13807
106, 62, 81133568, 8.13807
107, 56, 81133568, 0
108, 58, 81133568, 0
109, 65, 81133568, 0
110, 61, 81133568, 0
111, 58, 81133568, 0
112, 59, 81133568, 0
113, 37, 81133568, 0
114, 103, 81133568, 0
115, 69, 81133568, 0
116, 58, 81133568, 0
117, 57, 81133568, 0
118, 66, 81133568, 0
119, 56, 81133568, 0
120, 66, 81133568, 7.6585
121, 56, 81133568, 7.65936
122, 63, 81133568, 0
123, 60, 81133568, 0
124, 60, 81133568, 0
125, 60, 81133568, 0
126, 60, 81133568, 0
127, 60, 81133568, 0
128, 58, 81133568, 0
129, 62, 81133568, 0
130, 58, 81133568, 0
131, 59, 81133568, 0
132, 60, 81133568, 0
133, 60, 81133568, 0
134, 58, 81133568, 0
135, 61, 81133568, 0
136, 60, 81133568, 7.6599
137, 59, 81133568, 0
138, 60, 81133568, 0
139, 57, 81133568, 0
140, 60, 81133568, 0
141, 60, 81133568, 0
142, 61, 81133568, 0
143, 57, 81133568, 0
144, 63, 81133568, 0
145, 57, 81133568, 0
146, 62, 81133568, 0
147, 59, 81133568, 0
148, 60, 81133568, 0
149, 60, 81133568, 0
150, 58, 81133568, 0
151, 60, 81133568, 0
152, 55, 81133568, 0
153, 61, 81133568, 0
154, 60, 81133568, 0
155, 56, 81133568, 0
156, 64, 81133568, 0
157, 56, 81137664, 0
158, 65, 81137664, 0
159, 59, 81137664, 0
160, 60, 81137664, 0
161, 60, 81137664, 0
162, 59, 81137664, 0
163, 59, 81137664, 0
164, 60, 81137664, 0
165, 58, 81137664, 0
166, 61, 81137664, 0
167, 60, 81137664, 0
168, 60, 81137664, 0
169, 60, 81137664, 0
170, 59, 81137664, 0
171, 60, 81137664, 0
172, 60, 81137664, 0
173, 60, 81137664, 0
174, 59, 81137664, 0
175, 55, 81137664, 0
176, 65, 81137664, 0
177, 59, 81137664, 0
178, 60, 81137664, 0
179, 60, 81137664, 0
180, 59, 81137664, 0
181, 60, 81137664, 7.65927
182, 60, 81137664, 0
183, 59, 81145856, 0
184, 60, 81145856, 0
185, 60, 81145856, 0
186, 59, 81145856, 0
187, 60, 81145856, 0
188, 59, 81145856, 0
189, 60, 81145856, 0
190, 59, 81145856, 0
191, 59, 81145856, 0
192, 59, 81145856, 0
193, 61, 81145856, 0
194, 59, 81145856, 0
195, 60, 81145856, 0
196, 60, 81145856, 0
197, 59, 81145856, 0
198, 60, 81145856, 0
199, 60, 81145856, 0
200, 59, 81145856, 0
201, 60, 81145856, 0
202, 58, 81145856, 0
203, 61, 81145856, 0
204, 60, 81145856, 0
205, 59, 81145856, 0
206, 60, 81145856, 0
207, 60, 81145856, 0
208, 59, 81145856, 0
209, 60, 81145856, 0
210, 59, 81145856, 0
211, 60, 81145856, 0
212, 59, 81145856, 0
213, 60, 81145856, 0
214, 60, 81145856, 0
215, 59, 81145856, 0
216, 58, 81145856, 0
217, 60, 81145856, 0
218, 60, 81145856, 0
219, 59, 81145856, 0
220, 59, 81145856, 0
221, 60, 81145856, 0
222, 60, 81145856, 0
223, 60, 81145856, 0
224, 59, 81145856, 0
225, 59, 81145856, 0
226, 61, 81145856, 0
227, 59, 81145856, 0
228, 58, 81145856, 0
229, 61, 81145856, 0
230, 59, 81145856, 0
231, 60, 81145856, 0
232, 58, 81145856, 0
233, 62, 81145856, 0
234, 59, 81145856, 0
235, 59, 81145856, 0
236, 59, 81145856, 0
237, 60, 81145856, 0
238, 57, 81145856, 0
239, 62, 81145856, 0
240, 60, 81145856, 0
241, 59, 81145856, 0
242, 59, 81145856, 0
243, 60, 81145856, 0
244, 58, 81145856, 0
245, 61, 81145856, 0
246, 58, 81145856, 0
247, 62, 81145856, 0
248, 59, 81145856, 0
249, 60, 81145856, 0
250, 59, 81145856, 0
251, 60, 81145856, 0
252, 59, 81145856, 0
253, 59, 81145856, 0
254, 60, 81145856, 0
255, 60, 81145856, 0
256, 59, 81145856, 0
257, 59, 81145856, 0
258, 60, 81145856, 0
259, 60, 81145856, 0
260, 56, 81145856, 0
261, 63, 81145856, 0
262, 59, 81145856, 0
263, 60, 81145856, 0
264, 59, 81145856, 0
265, 56, 81145856, 0
266, 62, 81145856, 0
267, 58, 81145856, 0
268, 62, 81145856, 0
269, 59, 81145856, 0
270, 60, 81145856, 0
271, 60, 81145856, 0
272, 59, 81145856, 7.25168
273, 57, 81145856, 0
274, 60, 81145856, 0
275, 61, 81145856, 0
276, 59, 81145856, 0
