Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
1, 1, 148688896, 8.21426
2, 86, 147509248, 55.8068
3, 175, 153157632, 12.4013
4, 46, 150048768, 15.3178
5, 59, 148459520, 8.13797
6, 59, 148459520, 2.6042
7, 20, 148459520, 0
8, 30, 148492288, 0
9, 29, 148557824, 0
10, 58, 148561920, 0
11, 61, 148561920, 0
12, 58, 148561920, 0
13, 61, 148561920, 0
14, 60, 148561920, 0
15, 53, 148561920, 0
16, 53, 148578304, 0
17, 77, 148578304, 0
18, 59, 148578304, 7.65837
19, 60, 148578304, 0
20, 51, 148578304, 0
21, 73, 148701184, 0
22, 59, 148701184, 0
23, 60, 148701184, 0
24, 59, 148701184, 0
25, 61, 148701184, 0
26, 59, 148701184, 0
27, 57, 148701184, 0
28, 57, 148701184, 0
29, 60, 148701184, 0
30, 62, 148701184, 0
31, 61, 148701184, 0
32, 60, 148701184, 0
33, 60, 148701184, 7.65909
34, 57, 148701184, 0
35, 59, 148701184, 0
36, 56, 148701184, 0
37, 59, 148701184, 0
38, 60, 148701184, 0
39, 62, 148701184, 0
40, 59, 148701184, 0
41, 60, 148701184, 0
42, 63, 148701184, 0
43, 57, 148701184, 0
44, 60, 148701184, 0
45, 61, 148701184, 0
46, 59, 148701184, 0
47, 60, 148701184, 7.65909
48, 59, 148701184, 7.65936
49, 60, 148701184, 0
50, 60, 148701184, 0
51, 57, 148701184, 0
52, 61, 148701184, 0
53, 59, 148701184, 0
54, 58, 148701184, 0
55, 61, 148701184, 0
56, 59, 148701184, 0
57, 56, 148701184, 0
58, 63, 148701184, 0
59, 55, 148701184, 0
60, 61, 148701184, 0
61, 61, 148701184, 0
62, 62, 148701184, 7.6608
63, 60, 148701184, 7.6585
64, 58, 148701184, 0
65, 60, 148701184, 0
66, 57, 148701184, 0
67, 62, 148701184, 0
68, 58, 148701184, 0
69, 63, 148701184, 0
70, 59, 148701184, 0
71, 60, 148701184, 0
72, 59, 148701184, 0
73, 57, 148701184, 0
74, 60, 148701184, 0
75, 61, 148701184, 0
76, 55, 148701184, 7.65945
77, 58, 148701184, 8.67998
78, 63, 148701184, 7.65909
79, 60, 148701184, 0
80, 61, 148701184, 0
81, 46, 148701184, 0
82, 87, 148701184, 0
83, 60, 148701184, 0
84, 59, 148701184, 0
85, 60, 148701184, 0
86, 60, 148701184, 0
87, 60, 148701184, 0
88, 57, 148701184, 0
89, 60, 148701184, 0
90, 62, 148701184, 0
91, 60, 148701184, 0
92, 58, 148701184, 0
93, 59, 148701184, 0
94, 62, 148701184, 7.6576
95, 60, 148701184, 0
96, 60, 148701184, 0
97, 59, 148701184, 0
98, 60, 148701184, 0
99, 59, 148701184, 0
100, 60, 148701184, 0
101, 59, 148701184, 0
102, 59, 148701184, 0
103, 58, 148701184, 0
104, 60, 148701184, 0
105, 57, 148701184, 0
106, 63, 148701184, 0
107, 59, 148701184, 0
108, 60, 148701184, 0
109, 59, 148701184, 7.82446
110, 59, 148701184, 0
111, 60, 148701184, 0
112, 59, 148701184, 0
113, 60, 148701184, 0
114, 59, 148701184, 0
115, 59, 148701184, 0
116, 59, 148701184, 0
117, 57, 148701184, 0
118, 61, 148701184, 0
119, 59, 148701184, 0
120, 61, 148701184, 0
121, 59, 148701184, 0
122, 60, 148701184, 0
123, 59, 148701184, 0
124, 60, 148701184, 8.11793
125, 60, 148701184, 0
126, 60, 148701184, 0
127, 60, 148701184, 0
128, 59, 148701184, 0
129, 58, 148701184, 0
130, 61, 148701184, 0
131, 60, 148701184, 0
132, 59, 148701184, 0
133, 59, 148701184, 0
134, 58, 148701184, 0
135, 62, 148701184, 0
136, 59, 148701184, 0
137, 59, 148701184, 0
138, 60, 148701184, 0
139, 59, 148701184, 7.85466
140, 60, 148701184, 0
141, 59, 148701184, 0
142, 55, 148701184, 0
143, 66, 148701184, 0
144, 60, 148701184, 0
145, 60, 148701184, 0
146, 59, 148701184, 0
147, 60, 148701184, 0
148, 58, 148701184, 0
149, 58, 148701184, 0
150, 62, 148701184, 0
151, 60, 148701184, 0
152, 60, 148701184, 0
153, 59, 148701184, 0
154, 58, 148701184, 8.13792
155, 62, 148701184, 0
156, 59, 148701184, 0
157, 60, 148701184, 0
158, 59, 148701184, 0
159, 59, 148701184, 0
160, 60, 148701184, 0
161, 59, 148701184, 0
162, 60, 148705280, 0
163, 57, 148705280, 0
164, 60, 148705280, 0
165, 62, 148705280, 0
166, 58, 148705280, 0
167, 62, 148705280, 0
168, 59, 148705280, 0
169, 60, 148705280, 15.3802
