Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
1, 1, 150650880, 8.57702
2, 54, 146509824, 21.7003
3, 164, 147869696, 11.3229
4, 42, 150548480, 15.3202
5, 61, 148819968, 16.2732
6, 59, 150585344, 15.6243
7, 20, 149983232, 23.6748
8, 30, 148557824, 0
9, 29, 148627456, 0
10, 56, 148631552, 0
11, 60, 148631552, 0
12, 65, 148631552, 0
13, 60, 148631552, 0
14, 56, 148631552, 0
15, 60, 148631552, 0
16, 57, 148647936, 0
17, 54, 148647936, 8.13726
18, 63, 148647936, 7.33585
19, 66, 148647936, 8.13619
20, 61, 148647936, 0
21, 57, 148770816, 7.65904
22, 62, 148770816, 0
23, 61, 148770816, 0
24, 57, 148770816, 0
25, 61, 148770816, 0
26, 58, 148770816, 0
27, 62, 148770816, 0
28, 59, 148770816, 0
29, 59, 148770816, 0
30, 62, 148770816, 0
31, 60, 148770816, 0
32, 59, 148770816, 0
33, 57, 148770816, 0
34, 63, 148770816, 0
35, 58, 148770816, 0
36, 57, 148770816, 7.65936
37, 63, 148770816, 0
38, 58, 148770816, 0
39, 61, 148770816, 0
40, 58, 148770816, 0
41, 59, 148770816, 0
42, 64, 148770816, 0
43, 60, 148770816, 0
44, 62, 148770816, 0
45, 60, 148770816, 0
46, 61, 148770816, 0
47, 59, 148770816, 0
48, 58, 148770816, 0
49, 60, 148770816, 0
50, 60, 148770816, 0
51, 62, 148770816, 7.65868
52, 59, 148770816, 0
53, 57, 148770816, 0
54, 60, 148770816, 0
55, 62, 148770816, 0
56, 58, 148770816, 0
57, 61, 148770816, 0
58, 59, 148770816, 0
59, 60, 148770816, 0
60, 56, 148770816, 0
61, 63, 148770816, 0
62, 60, 148770816, 0
63, 55, 148770816, 0
64, 61, 148770816, 0
65, 59, 148770816, 0
66, 41, 148770816, 0
67, 117, 148770816, 0
68, 58, 148770816, 0
69, 59, 148770816, 0
70, 63, 148770816, 0
71, 59, 148770816, 0
72, 57, 148770816, 0
73, 64, 148770816, 0
74, 58, 148770816, 0
75, 59, 148770816, 0
76, 60, 148770816, 0
77, 58, 148770816, 0
78, 62, 148770816, 0
79, 59, 148770816, 0
80, 57, 148770816, 0
81, 62, 148770816, 0
82, 59, 148770816, 7.8435
83, 60, 148770816, 0
84, 60, 148770816, 0
85, 60, 148770816, 0
86, 59, 148770816, 0
87, 59, 148770816, 0
88, 59, 148770816, 0
89, 59, 148770816, 0
90, 60, 148770816, 0
91, 57, 148770816, 0
92, 59, 148770816, 0
93, 62, 148770816, 0
94, 60, 148770816, 0
95, 59, 148770816, 0
96, 59, 148770816, 0
97, 60, 148770816, 0
98, 60, 148770816, 0
99, 59, 148770816, 0
100, 57, 148770816, 0
101, 63, 148770816, 0
102, 59, 148770816, 0
103, 60, 148770816, 0
104, 58, 148770816, 0
105, 62, 148770816, 0
106, 59, 148770816, 0
107, 59, 148770816, 0
108, 60, 148770816, 0
109, 59, 148770816, 0
110, 60, 148770816, 0
111, 59, 148770816, 0
112, 60, 148770816, 8.13822
113, 60, 148770816, 0
114, 59, 148770816, 0
115, 58, 148770816, 0
116, 60, 148770816, 0
117, 61, 148770816, 0
118, 60, 148770816, 0
119, 59, 148770816, 0
120, 59, 148770816, 0
121, 59, 148770816, 0
122, 54, 148770816, 0
123, 64, 148770816, 0
124, 60, 148770816, 0
125, 60, 148770816, 0
126, 59, 148774912, 0
127, 60, 148774912, 7.68046
128, 56, 148774912, 0
129, 63, 148774912, 0
130, 58, 148774912, 0
131, 60, 148774912, 0
132, 61, 148774912, 0
133, 60, 148774912, 0
134, 59, 148774912, 0
135, 60, 148774912, 0
136, 60, 148774912, 0
137, 60, 148774912, 0
138, 60, 148774912, 0
139, 59, 148774912, 0
140, 59, 148774912, 0
141, 56, 148774912, 8.38156
142, 65, 148774912, 7.91401
143, 60, 148774912, 0
144, 59, 148774912, 0
145, 57, 148774912, 0
146, 62, 148774912, 0
