Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 99459072, 3.9332, 52, 7, 806707200
2, 179, 99696640, 43.3941, 52, 7, 806707200
3, 549, 99696640, 0, 52, 7, 806707200
4, 809, 99700736, 0, 52, 7, 806707200
5, 919, 99700736, 0, 52, 7, 806707200
6, 852, 99700736, 0, 52, 7, 806707200
7, 568, 99737600, 0, 52, 7, 806707200
8, 556, 99737600, 0, 52, 7, 806707200
9, 924, 99737600, 0, 52, 7, 806707200
10, 833, 99737600, 0, 52, 7, 806707200
11, 965, 99737600, 0, 52, 7, 806707200
12, 982, 99737600, 0, 52, 7, 806707200
13, 582, 99737600, 0, 52, 7, 806707200
14, 781, 99737600, 0, 52, 7, 806707200
15, 802, 99753984, 0, 52, 7, 806707200
16, 525, 99753984, 0, 52, 7, 806707200
17, 856, 99753984, 0, 52, 7, 806707200
18, 713, 99753984, 0, 52, 7, 806707200
19, 753, 100171776, 0, 52, 7, 806707200
20, 330, 100171776, 0, 52, 7, 806707200
21, 513, 100171776, 65.1139, 52, 7, 806707200
22, 371, 100171776, 0, 52, 7, 806707200
23, 664, 100171776, 0, 52, 7, 806707200
24, 502, 100171776, 0, 52, 7, 806707200
25, 741, 100171776, 0, 52, 7, 806707200
26, 818, 100171776, 0, 52, 7, 806707200
27, 998, 100171776, 0, 52, 7, 806707200
28, 981, 100171776, 0, 52, 7, 806707200
29, 893, 100171776, 0, 52, 7, 806707200
30, 846, 100171776, 0, 52, 7, 806707200
31, 583, 100171776, 0, 52, 7, 806707200
32, 914, 100171776, 0, 52, 7, 806707200
33, 909, 100171776, 65.202, 52, 7, 806707200
34, 795, 100171776, 0, 52, 7, 806707200
35, 762, 100171776, 0, 52, 7, 806707200
36, 643, 100171776, 0, 52, 7, 806707200
37, 842, 100171776, 0, 52, 7, 806707200
38, 891, 100171776, 0, 52, 7, 806707200
39, 936, 100171776, 0, 52, 7, 806707200
40, 897, 100171776, 0, 52, 7, 806707200
41, 1072, 100171776, 0, 52, 7, 806707200
42, 1023, 100171776, 0, 52, 7, 806707200
43, 889, 100171776, 0, 52, 7, 806707200
44, 1020, 101007360, 0, 52, 7, 806707200
45, 53, 101007360, 0, 52, 7, 806707200
46, 69, 101007360, 3.82947, 52, 15, 806707200
47, 29, 101007360, 0, 52, 15, 806707200
48, 30, 101007360, 0, 52, 15, 806707200
49, 53, 101007360, 0, 52, 15, 807231488
50, 60, 101007360, 0, 52, 15, 807231488
51, 66, 101007360, 0, 52, 15, 807231488
52, 61, 101007360, 0, 52, 15, 807231488
53, 60, 101007360, 0, 52, 15, 807231488
54, 59, 101007360, 0, 52, 15, 807231488
55, 61, 101007360, 0, 52, 15, 807231488
56, 59, 101007360, 0, 52, 15, 807231488
57, 57, 101007360, 0, 52, 15, 807231488
58, 60, 101007360, 0, 52, 15, 807231488
59, 60, 101007360, 0, 52, 15, 807231488
60, 61, 101007360, 7.65972, 52, 15, 807231488
61, 59, 101007360, 7.65972, 52, 15, 807231488
62, 59, 101007360, 0, 52, 15, 807231488
63, 54, 101007360, 0, 52, 15, 807706624
64, 62, 101007360, 0, 52, 15, 808050688
65, 50, 101007360, 0, 52, 15, 808050688
66, 69, 101007360, 0, 52, 15, 812396544
67, 58, 101007360, 0, 52, 15, 815337472
68, 49, 101007360, 0, 52, 15, 815337472
69, 86, 101007360, 0, 52, 15, 815337472
70, 59, 101007360, 0, 52, 15, 815337472
71, 48, 101007360, 8.13843, 52, 15, 815337472
72, 71, 101007360, 0, 52, 15, 815337472
73, 67, 101007360, 0, 52, 15, 815337472
74, 59, 101007360, 7.65819, 52, 15, 815337472
75, 58, 101007360, 0, 52, 15, 815337472
76, 59, 101007360, 7.65886, 52, 15, 826687488
77, 62, 101007360, 0, 52, 15, 826687488
78, 59, 101007360, 0, 52, 15, 829833216
79, 58, 101007360, 0, 52, 15, 840859648
80, 60, 101007360, 0, 52, 15, 841908224
81, 59, 101007360, 0, 52, 15, 844120064
82, 61, 101007360, 0, 52, 15, 844111872
83, 50, 101007360, 0, 52, 15, 844165120
84, 74, 101007360, 0, 52, 15, 844165120
85, 61, 101007360, 0, 52, 15, 844165120
86, 58, 101007360, 0, 52, 15, 844165120
87, 59, 101007360, 0, 52, 15, 844165120
88, 61, 101007360, 0, 52, 15, 844165120
89, 59, 101007360, 0, 52, 15, 844165120
90, 61, 101007360, 0, 52, 15, 844165120
91, 57, 101007360, 8.13863, 52, 15, 844165120
92, 63, 101007360, 0, 52, 15, 844169216
93, 51, 101007360, 0, 52, 15, 848650240
94, 71, 101007360, 0, 52, 15, 848687104
95, 58, 101007360, 0, 52, 15, 849047552
96, 62, 101007360, 0, 52, 15, 849178624
97, 58, 101007360, 0, 52, 15, 849178624
98, 61, 101007360, 0, 52, 15, 849178624
99, 59, 101007360, 0, 52, 15, 849178624
100, 57, 101015552, 0, 52, 15, 849309696
101, 62, 101015552, 0, 52, 15, 849309696
102, 58, 101015552, 0, 52, 15, 849784832
103, 60, 101015552, 0, 52, 15, 849784832
104, 56, 101015552, 0, 52, 15, 850833408
105, 54, 101015552, 8.67998, 52, 15, 850964480
106, 71, 101015552, 7.66098, 52, 3, 850964480
