Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 99717120, 4.90976, 52, 17, 815149056
2, 81, 99954688, 0, 52, 17, 815206400
3, 439, 99958784, 0, 52, 17, 815337472
4, 298, 100388864, 11.8374, 52, 17, 815337472
5, 105, 100388864, 0, 52, 17, 815337472
6, 519, 100388864, 0, 52, 17, 815337472
7, 462, 100413440, 43.3984, 52, 17, 815337472
8, 434, 100413440, 0, 52, 17, 815337472
9, 700, 100413440, 0, 52, 17, 815337472
10, 570, 100413440, 0, 52, 17, 815337472
11, 500, 100413440, 0, 52, 17, 815337472
12, 612, 100413440, 0, 52, 17, 815337472
13, 433, 100413440, 0, 52, 17, 815337472
14, 364, 100413440, 0, 52, 17, 815337472
15, 321, 100429824, 0, 52, 17, 815337472
16, 399, 100429824, 0, 52, 17, 815337472
17, 566, 100429824, 0, 52, 17, 815337472
18, 559, 100429824, 0, 52, 17, 815337472
19, 578, 100429824, 0, 52, 17, 815337472
20, 577, 100429824, 0, 52, 17, 815337472
21, 547, 100429824, 0, 52, 17, 815337472
22, 633, 100429824, 0, 52, 17, 815337472
23, 448, 100429824, 43.3955, 52, 17, 815337472
24, 326, 100429824, 9.30186, 52, 17, 815337472
25, 71, 101265408, 0, 52, 17, 815337472
26, 166, 101265408, 0, 52, 17, 815337472
27, 81, 101265408, 0, 52, 17, 815337472
28, 30, 101347328, 0, 52, 17, 829915136
29, 30, 101351424, 0, 52, 17, 843022336
30, 57, 101351424, 0, 52, 17, 843022336
31, 63, 101351424, 0, 52, 17, 843022336
32, 60, 101351424, 0, 52, 17, 843022336
33, 59, 101351424, 0, 52, 17, 843022336
34, 59, 101351424, 0, 52, 17, 844070912
35, 59, 101351424, 0, 52, 17, 844177408
36, 59, 101351424, 0, 52, 17, 844165120
37, 60, 101351424, 8.13782, 52, 17, 844230656
38, 60, 101351424, 0, 52, 17, 844230656
39, 59, 101351424, 0, 52, 17, 844230656
40, 59, 101351424, 0, 52, 17, 844230656
41, 58, 101351424, 0, 52, 17, 844230656
42, 64, 101351424, 0, 52, 17, 844230656
43, 60, 101351424, 0, 52, 17, 844230656
44, 58, 101351424, 0, 52, 17, 844230656
45, 60, 101351424, 0, 52, 17, 844230656
46, 59, 101351424, 0, 53, 17, 844230656
47, 57, 101351424, 0, 53, 17, 844230656
48, 65, 101351424, 0, 53, 17, 844230656
49, 59, 101351424, 0, 53, 5, 844455936
50, 58, 101351424, 0, 53, 5, 849047552
51, 60, 101351424, 0, 53, 5, 849440768
52, 61, 101351424, 7.88196, 53, 5, 849440768
53, 60, 101351424, 7.66049, 53, 5, 849440768
54, 55, 101351424, 0, 53, 5, 849440768
55, 62, 101351424, 0, 53, 5, 849440768
56, 61, 101351424, 0, 53, 5, 849571840
57, 59, 101351424, 0, 53, 5, 849571840
58, 61, 101351424, 0, 53, 5, 849571840
59, 58, 101351424, 0, 53, 5, 850010112
60, 60, 101351424, 0, 53, 5, 850010112
61, 50, 101351424, 0, 53, 5, 851124224
62, 68, 101351424, 0, 53, 5, 851124224
63, 64, 101351424, 0, 53, 5, 851161088
64, 58, 101351424, 0, 53, 5, 852537344
65, 42, 101351424, 0, 53, 5, 852537344
66, 72, 101351424, 0, 53, 5, 852537344
67, 79, 101351424, 7.66017, 53, 5, 852537344
68, 61, 101351424, 8.13721, 53, 5, 852537344
69, 60, 101351424, 0, 53, 5, 852537344
70, 59, 101351424, 0, 53, 5, 852537344
71, 59, 101351424, 0, 53, 5, 852537344
72, 59, 101351424, 0, 53, 5, 852537344
73, 61, 101351424, 0, 53, 5, 852537344
74, 59, 101351424, 0, 53, 5, 851554304
75, 30, 101351424, 0, 53, 5, 851554304
76, 765, 101351424, 0, 53, 5, 851554304
77, 62, 101351424, 0, 53, 5, 851554304
78, 60, 101351424, 0, 53, 5, 851554304
79, 59, 101351424, 0, 53, 5, 851554304
80, 59, 101351424, 0, 53, 5, 851554304
81, 59, 101351424, 0, 53, 5, 851554304
82, 61, 101351424, 0, 53, 5, 851554304
83, 61, 101351424, 7.65756, 53, 5, 851554304
84, 59, 101351424, 0, 53, 5, 851554304
85, 58, 101351424, 0, 53, 5, 851554304
86, 58, 101351424, 0, 53, 5, 851554304
87, 62, 101351424, 0, 53, 5, 851554304
88, 58, 101351424, 0, 53, 5, 851554304
89, 62, 101351424, 0, 53, 5, 851554304
90, 59, 101351424, 0, 53, 5, 851554304
91, 60, 101351424, 0, 53, 5, 851554304
92, 60, 101351424, 0, 53, 5, 851554304
93, 59, 101351424, 0, 53, 5, 851554304
94, 60, 101351424, 0, 53, 5, 851554304
95, 60, 101351424, 0, 53, 5, 851554304
96, 60, 101351424, 0, 53, 5, 851554304
97, 59, 101351424, 0, 53, 5, 851554304
98, 60, 101351424, 7.67552, 53, 5, 851554304
99, 59, 101351424, 0, 53, 5, 851554304
100, 57, 101359616, 0, 53, 5, 851554304
101, 62, 101359616, 0, 53, 5, 851554304
102, 58, 101359616, 0, 53, 5, 851554304
103, 57, 101359616, 0, 53, 5, 851554304
104, 61, 101359616, 0, 53, 5, 851554304
105, 62, 101359616, 0, 53, 5, 851554304
106, 59, 101359616, 0, 53, 5, 851554304
107, 59, 101359616, 0, 53, 5, 851554304
108, 60, 101359616, 0, 53, 5, 851554304
109, 60, 101359616, 0, 53, 5, 851554304
