Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 0, 152580096, 8.59004, 52, 15, 960352256
2, 52, 152829952, 0, 52, 15, 960430080
3, 143, 153255936, 0, 52, 15, 960430080
4, 67, 153255936, 0, 52, 15, 960430080
5, 62, 153260032, 0, 52, 15, 960430080
6, 60, 153260032, 0, 52, 15, 960430080
7, 34, 153260032, 6.20158, 52, 15, 960430080
8, 46, 153280512, 0, 52, 15, 960430080
9, 29, 153341952, 0, 52, 15, 960430080
10, 61, 153346048, 0, 52, 15, 960430080
11, 61, 153346048, 0, 52, 15, 960430080
12, 59, 153346048, 0, 52, 15, 960430080
13, 39, 153346048, 16.2781, 52, 14, 960430080
14, 112, 153346048, 0, 52, 14, 961249280
15, 54, 153346048, 0, 52, 14, 961249280
16, 54, 153362432, 9.30073, 52, 14, 961249280
17, 75, 153362432, 0, 52, 14, 968404992
18, 53, 153362432, 8.13812, 52, 14, 968536064
19, 60, 153362432, 8.13777, 52, 14, 968536064
20, 67, 153362432, 8.13787, 52, 14, 968536064
21, 60, 153640960, 15.3199, 52, 14, 968536064
22, 58, 153640960, 0, 52, 14, 968536064
23, 62, 153640960, 0, 52, 14, 968536064
24, 56, 153640960, 0, 52, 14, 969924608
25, 53, 153640960, 0, 52, 14, 969924608
26, 72, 153640960, 0, 52, 14, 969924608
27, 58, 153640960, 0, 53, 14, 994041856
28, 55, 153640960, 0, 53, 14, 994058240
29, 63, 153640960, 0, 53, 14, 994058240
30, 64, 153640960, 0, 53, 14, 997203968
31, 58, 153640960, 0, 53, 14, 997310464
32, 59, 153640960, 0, 53, 14, 997363712
33, 59, 153640960, 0, 53, 14, 997363712
34, 60, 153640960, 0, 53, 14, 997363712
35, 62, 153640960, 0, 53, 14, 997363712
36, 60, 153640960, 14.4693, 53, 14, 997363712
37, 56, 153640960, 0, 53, 14, 997363712
38, 62, 153640960, 0, 53, 14, 997363712
39, 61, 153640960, 0, 53, 14, 997363712
40, 59, 153640960, 0, 53, 14, 1001848832
41, 57, 153640960, 0, 53, 14, 1001885696
42, 59, 153640960, 0, 53, 14, 1001885696
43, 61, 153640960, 0, 53, 14, 1001885696
44, 59, 153640960, 0, 53, 14, 1001885696
45, 61, 153640960, 0, 53, 14, 1001885696
46, 60, 153640960, 0, 53, 14, 1002180608
47, 58, 153640960, 0, 53, 14, 1002180608
48, 61, 153640960, 0, 53, 14, 1002573824
49, 59, 153640960, 0, 53, 14, 1002573824
50, 60, 153640960, 0, 53, 14, 1002573824
51, 61, 153640960, 0, 53, 14, 1002573824
52, 57, 153640960, 14.4683, 53, 14, 1002573824
53, 56, 153640960, 0, 53, 14, 1002573824
54, 63, 153640960, 0, 53, 14, 1002704896
55, 59, 153640960, 0, 53, 14, 1002704896
56, 56, 153640960, 0, 53, 14, 1003180032
57, 35, 153640960, 0, 53, 14, 1003180032
58, 153, 153640960, 0, 53, 14, 1003769856
59, 62, 153640960, 0, 53, 14, 1004294144
60, 62, 153640960, 0, 53, 14, 1004294144
61, 55, 153640960, 0, 53, 14, 1004556288
62, 65, 153640960, 0, 53, 14, 1004621824
63, 34, 153640960, 0, 53, 14, 1004621824
64, 161, 153640960, 8.13558, 53, 14, 1004621824
65, 62, 153640960, 8.14118, 53, 14, 1004621824
66, 65, 153640960, 8.13634, 53, 14, 1004621824
67, 61, 153640960, 38.3004, 53, 14, 1004621824
68, 59, 153640960, 0, 53, 14, 1004621824
69, 61, 153640960, 0, 53, 14, 1004621824
70, 59, 153640960, 0, 53, 14, 1004621824
71, 59, 153640960, 0, 53, 14, 1004621824
72, 62, 153640960, 0, 53, 14, 1004621824
73, 33, 153640960, 0, 53, 24, 1004687360
74, 174, 153640960, 0, 53, 24, 1004687360
75, 65, 153640960, 0, 53, 24, 1004687360
76, 60, 153640960, 0, 53, 24, 1004687360
77, 60, 153640960, 0, 53, 24, 1004687360
78, 60, 153640960, 0, 53, 24, 1004687360
79, 58, 153640960, 0, 53, 24, 1004687360
80, 55, 153640960, 8.13807, 53, 24, 1004687360
81, 62, 153640960, 8.13838, 53, 24, 1004687360
82, 61, 153640960, 0, 53, 24, 1004687360
83, 57, 153640960, 0, 53, 24, 1004687360
84, 58, 153640960, 0, 53, 24, 1004687360
85, 60, 153640960, 0, 53, 24, 1004687360
86, 64, 153640960, 0, 53, 24, 1004687360
87, 32, 153640960, 0, 53, 24, 1004687360
88, 182, 153640960, 0, 53, 24, 1004687360
89, 68, 153640960, 0, 53, 24, 1004687360
90, 60, 153640960, 0, 53, 24, 1004687360
91, 58, 153640960, 0, 53, 24, 1004687360
92, 61, 153640960, 0, 53, 24, 1004687360
93, 59, 153640960, 0, 53, 24, 1004687360
94, 64, 153640960, 0, 53, 24, 1004687360
95, 57, 153640960, 0, 53, 24, 1004687360
96, 60, 153640960, 8.13797, 53, 24, 1004687360
97, 62, 153649152, 8.13639, 53, 24, 1004687360
98, 60, 153649152, 0, 53, 24, 1004687360
99, 58, 153649152, 0, 53, 24, 1004687360
100, 61, 153649152, 0, 53, 24, 1004687360
101, 61, 153649152, 0, 53, 24, 1004687360
102, 59, 153649152, 0, 53, 24, 1004687360
103, 60, 153649152, 0, 53, 24, 1004687360
104, 60, 153649152, 0, 53, 24, 1004687360
105, 59, 153649152, 0, 53, 24, 1004687360
106, 59, 153649152, 0, 53, 24, 1004687360
107, 60, 153649152, 0, 53, 24, 1004687360
108, 59, 153649152, 0, 53, 24, 1004687360
109, 59, 153649152, 0, 53, 24, 1004687360
110, 58, 153649152, 0, 53, 24, 1004687360
111, 59, 153649152, 6.83358, 53, 24, 1004687360
112, 53, 153649152, 9.5598, 53, 24, 1004687360
113, 72, 153649152, 0, 53, 24, 1004687360
114, 59, 153649152, 0, 53, 24, 1004687360
115, 59, 153649152, 0, 53, 24, 1004687360
116, 60, 153649152, 0, 53, 24, 1004687360
117, 59, 153649152, 0, 53, 24, 1004687360
118, 60, 153649152, 0, 53, 24, 1004687360
119, 60, 153649152, 0, 53, 24, 1004687360
120, 59, 153653248, 0, 53, 24, 1004687360
121, 60, 153653248, 0, 53, 24, 1004687360
122, 59, 153653248, 0, 53, 24, 1004687360
123, 60, 153653248, 0, 53, 24, 1004818432
124, 56, 153653248, 0, 53, 24, 1004818432
125, 59, 153653248, 0, 53, 24, 1004818432
126, 62, 153653248, 8.13807, 53, 24, 1004818432
127, 62, 153653248, 0, 53, 24, 1004818432
128, 59, 153653248, 7.68014, 53, 24, 1004818432
129, 59, 153653248, 0, 53, 24, 1004818432
130, 60, 153653248, 0, 53, 24, 1004818432
131, 59, 153653248, 0, 53, 24, 1004818432
132, 60, 153653248, 0, 53, 24, 1004818432
133, 60, 153653248, 0, 53, 24, 1004818432
134, 59, 153653248, 0, 53, 23, 1004818432
135, 59, 153653248, 0, 53, 23, 1004818432
136, 60, 153653248, 0, 53, 23, 1002848256
137, 57, 153653248, 0, 53, 23, 1002848256
138, 61, 153653248, 0, 53, 23, 1002848256
139, 60, 153653248, 0, 53, 23, 1002848256
140, 51, 153653248, 8.70702, 53, 23, 1002848256
141, 68, 153653248, 0, 53, 23, 1002848256
142, 61, 153653248, 15.2817, 53, 23, 1002848256
143, 60, 153653248, 8.13477, 53, 23, 1002848256
144, 60, 153653248, 0, 53, 23, 1002848256
145, 60, 153653248, 0, 53, 23, 1002848256
146, 60, 153653248, 0, 53, 23, 1002848256
147, 60, 153653248, 0, 53, 23, 1002848256
148, 60, 153653248, 0, 53, 23, 1002848256
149, 59, 153653248, 0, 53, 23, 1002848256
150, 58, 153653248, 0, 53, 23, 1002848256
151, 60, 153653248, 0, 53, 23, 1002848256
152, 61, 153653248, 0, 53, 23, 1002848256
153, 59, 153653248, 0, 53, 23, 1002848256
154, 59, 153653248, 0, 53, 23, 1002848256
155, 58, 153653248, 0, 53, 23, 1002848256
156, 62, 153653248, 0, 53, 23, 1002848256
157, 59, 153653248, 8.13863, 53, 23, 1002848256
158, 59, 153653248, 7.62125, 53, 23, 1002848256
159, 60, 153653248, 0, 53, 23, 1002848256
160, 59, 153653248, 0, 53, 23, 1002848256
161, 59, 153653248, 0, 53, 23, 1002848256
162, 59, 153653248, 0, 53, 23, 1002848256
163, 60, 153653248, 0, 53, 23, 1002848256
164, 61, 153653248, 0, 53, 23, 1002848256
165, 60, 153653248, 0, 53, 23, 1002848256
166, 60, 153653248, 0, 53, 23, 1002848256
167, 60, 153653248, 0, 53, 23, 1002848256
168, 50, 153653248, 0, 53, 23, 1002848256
169, 58, 153653248, 7.25144, 53, 23, 1002848256
170, 58, 153653248, 0, 53, 23, 1002848256
171, 64, 153653248, 0, 53, 23, 1002848256
172, 60, 153653248, 0, 53, 23, 1002848256
173, 59, 153653248, 0, 53, 23, 1002848256
174, 60, 153653248, 0, 53, 23, 1002848256
175, 57, 153653248, 0, 53, 23, 1002848256
176, 62, 153653248, 0, 53, 23, 1002913792
177, 57, 153653248, 0, 53, 23, 1002913792
178, 62, 153653248, 0, 53, 23, 1002913792
179, 61, 153653248, 0, 53, 23, 1002913792
180, 61, 153653248, 0, 53, 23, 1002913792
181, 59, 153653248, 0, 53, 23, 1002913792
182, 59, 153653248, 0, 53, 23, 1002913792
183, 60, 153653248, 0, 53, 23, 1002913792
184, 60, 153653248, 0, 53, 23, 1002913792
185, 56, 153653248, 0, 53, 23, 1002913792
186, 63, 153653248, 7.69166, 53, 23, 1002913792
187, 59, 153653248, 0, 53, 23, 1002913792
188, 57, 153653248, 0, 53, 23, 1002913792
189, 60, 153653248, 0, 53, 23, 1002913792
190, 62, 153653248, 0, 53, 23, 1002913792
191, 58, 153653248, 0, 53, 23, 1002913792
192, 61, 153653248, 0, 53, 23, 1002913792
193, 58, 153653248, 0, 53, 23, 1002913792
194, 60, 153653248, 0, 53, 28, 1002913792
195, 61, 153653248, 0, 53, 28, 1002913792
196, 56, 153653248, 0, 53, 28, 1002913792
197, 63, 153653248, 0, 53, 28, 1002913792
198, 59, 153653248, 0, 53, 28, 1002913792
199, 60, 153653248, 0, 53, 28, 1002913792
200, 56, 153653248, 8.04729, 53, 28, 1002913792
201, 60, 153653248, 0, 53, 28, 1002913792
202, 61, 153653248, 0, 53, 28, 1002913792
203, 61, 153653248, 0, 53, 28, 1002913792
204, 58, 153653248, 0, 53, 28, 1002913792
205, 61, 153653248, 0, 53, 28, 1002913792
206, 55, 153653248, 0, 53, 28, 1002913792
207, 61, 153653248, 0, 53, 28, 1002913792
208, 59, 153653248, 0, 53, 28, 1002913792
209, 60, 153653248, 0, 53, 28, 1002913792
210, 61, 153653248, 0, 53, 28, 1002913792
211, 57, 153653248, 0, 53, 28, 1002913792
212, 62, 153653248, 0, 53, 28, 1002913792
213, 59, 153653248, 0, 53, 28, 1002913792
214, 60, 153653248, 0, 53, 28, 1002913792
215, 58, 153653248, 15.1396, 53, 28, 1002913792
216, 61, 153653248, 0, 53, 28, 1002913792
217, 57, 153653248, 0, 53, 28, 1002913792
218, 61, 153653248, 0, 53, 28, 1002913792
219, 60, 153653248, 0, 53, 28, 1002913792
220, 60, 153653248, 0, 53, 28, 1002913792
221, 61, 153653248, 0, 53, 28, 1002913792
222, 60, 153653248, 0, 53, 28, 1002913792
223, 57, 153653248, 0, 53, 28, 1002913792
224, 62, 153653248, 0, 53, 28, 1002913792
225, 59, 153653248, 0, 53, 28, 1002913792
226, 57, 153653248, 0, 53, 28, 1002913792
