Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 0, 151138304, 8.46213, 53, 15, 971034624
2, 53, 151388160, 32.5318, 53, 15, 971112448
3, 136, 151810048, 0, 53, 15, 971587584
4, 40, 151818240, 0, 53, 15, 971931648
5, 71, 151818240, 0, 53, 15, 971931648
6, 34, 151818240, 0, 53, 15, 979218432
7, 42, 151818240, 3.82961, 53, 15, 979218432
8, 31, 151900160, 8.13873, 53, 15, 979218432
9, 55, 151904256, 8.1366, 53, 15, 979218432
10, 58, 151904256, 0, 53, 15, 979218432
11, 42, 151904256, 0, 53, 15, 979218432
12, 129, 151904256, 0, 53, 15, 979218432
13, 60, 151904256, 0, 53, 15, 979218432
14, 61, 151904256, 0, 53, 15, 979218432
15, 55, 151904256, 0, 53, 15, 991682560
16, 61, 151920640, 0, 53, 15, 1004806144
17, 58, 151920640, 0, 53, 15, 1007951872
18, 61, 151920640, 0, 53, 15, 1007951872
19, 60, 151920640, 0, 53, 15, 1007951872
20, 60, 152203264, 0, 53, 13, 1007951872
21, 56, 152203264, 0, 53, 13, 1007951872
22, 61, 152203264, 0, 53, 13, 1007951872
23, 64, 152203264, 0, 53, 13, 1007943680
24, 58, 152203264, 8.13889, 53, 13, 1007943680
25, 57, 152203264, 7.23412, 53, 13, 1008046080
26, 59, 152203264, 0, 53, 13, 1008046080
27, 48, 152203264, 0, 53, 13, 1008046080
28, 89, 152203264, 0, 53, 13, 1008046080
29, 60, 152203264, 0, 53, 13, 1008046080
30, 60, 152203264, 0, 53, 13, 1008046080
31, 60, 152203264, 0, 53, 13, 1008046080
32, 58, 152203264, 0, 53, 13, 1008046080
33, 57, 152203264, 0, 53, 13, 1008111616
34, 60, 152203264, 0, 53, 13, 1008111616
35, 62, 152203264, 0, 53, 13, 1008111616
36, 61, 152203264, 0, 53, 13, 1008111616
37, 58, 152203264, 0, 53, 13, 1008111616
38, 58, 152203264, 0, 53, 13, 1008111616
39, 58, 152203264, 31.0035, 53, 13, 1008111616
40, 48, 152203264, 0, 53, 13, 1008111616
41, 83, 152203264, 0, 53, 13, 1008111616
42, 57, 152203264, 0, 53, 13, 1008111616
43, 43, 152203264, 0, 53, 13, 1008111616
44, 101, 152203264, 0, 53, 13, 1012596736
45, 60, 152203264, 0, 53, 13, 1012633600
46, 58, 152203264, 0, 53, 13, 1012633600
47, 61, 152203264, 0, 53, 13, 1012994048
48, 58, 152203264, 0, 53, 13, 1012994048
49, 60, 152203264, 0, 53, 13, 1012994048
50, 57, 152203264, 0, 53, 13, 1012994048
51, 61, 152203264, 0, 53, 13, 1013059584
52, 59, 152203264, 0, 53, 13, 1011814400
53, 34, 152203264, 0, 53, 13, 1011814400
54, 173, 152203264, 7.73112, 53, 13, 1012289536
55, 60, 152203264, 0, 53, 13, 1012289536
56, 61, 152203264, 0, 53, 13, 1013338112
57, 58, 152203264, 0, 53, 13, 1013600256
58, 54, 152203264, 0, 53, 13, 1013665792
59, 69, 152203264, 0, 53, 13, 1013665792
60, 33, 152203264, 0, 53, 13, 1013665792
61, 91, 152203264, 16.2819, 53, 13, 1013665792
62, 123, 152203264, 0, 53, 13, 1013665792
63, 60, 152203264, 0, 53, 13, 1013665792
64, 60, 152203264, 0, 53, 13, 1013731328
65, 60, 152203264, 0, 53, 13, 1013731328
66, 59, 152203264, 0, 53, 13, 1013731328
67, 60, 152203264, 0, 53, 13, 1013731328
68, 62, 152203264, 0, 53, 13, 1013731328
69, 58, 152203264, 0, 53, 13, 1013731328
70, 34, 152203264, 0, 53, 13, 1013731328
71, 205, 152203264, 52.0872, 53, 13, 1013731328
72, 64, 152203264, 0, 53, 13, 1013731328
73, 59, 152203264, 0, 53, 13, 1013731328
74, 60, 152203264, 0, 53, 13, 1013731328
75, 57, 152203264, 0, 53, 13, 1013731328
76, 58, 152203264, 0, 53, 13, 1013731328
77, 63, 152203264, 0, 53, 13, 1013731328
