Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 99934208, 5.10644, 52, 18, 981000192
2, 72, 100171776, 0, 52, 18, 981000192
3, 262, 100175872, 0, 52, 18, 981000192
4, 491, 100188160, 0, 52, 18, 981000192
5, 590, 100188160, 0, 52, 18, 981000192
6, 594, 100188160, 0, 52, 18, 981000192
7, 555, 100212736, 0, 52, 18, 981000192
8, 346, 100212736, 65.0977, 52, 18, 981000192
9, 567, 100212736, 0, 52, 18, 981000192
10, 455, 100212736, 0, 52, 18, 981000192
11, 593, 100212736, 0, 52, 18, 981000192
12, 606, 100212736, 0, 52, 18, 981000192
13, 685, 100212736, 0, 52, 18, 981000192
14, 515, 100212736, 0, 52, 18, 981000192
15, 544, 100229120, 0, 52, 18, 981000192
16, 502, 100229120, 130.313, 52, 18, 981000192
17, 434, 100229120, 0, 52, 18, 981000192
18, 290, 100229120, 0, 52, 18, 981000192
19, 586, 100229120, 0, 52, 18, 981000192
20, 632, 100229120, 0, 52, 18, 981000192
21, 642, 100229120, 0, 52, 18, 981000192
22, 484, 100229120, 0, 52, 18, 981000192
23, 588, 100229120, 0, 52, 18, 981000192
24, 620, 100229120, 65.1335, 52, 18, 981000192
25, 526, 100229120, 0, 52, 18, 981000192
26, 537, 100229120, 0, 52, 18, 981000192
27, 656, 100229120, 0, 52, 18, 981000192
28, 729, 100229120, 0, 52, 18, 981000192
29, 551, 100229120, 0, 52, 18, 981000192
30, 561, 100229120, 0, 52, 18, 981000192
31, 479, 100229120, 0, 52, 18, 981000192
32, 469, 100229120, 0, 52, 18, 981000192
33, 139, 100646912, 0, 52, 18, 981000192
34, 58, 101482496, 0, 52, 18, 981000192
35, 192, 101482496, 0, 52, 18, 981000192
36, 98, 101556224, 0, 52, 18, 981000192
37, 29, 101560320, 0, 52, 18, 981000192
38, 59, 101560320, 0, 52, 18, 981000192
39, 58, 101560320, 0, 52, 18, 981000192
40, 57, 101560320, 0, 52, 18, 981000192
41, 62, 101560320, 0, 52, 18, 981000192
