Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 99835904, 3.97838, 52, 17, 981196800
2, 161, 100032512, 0, 52, 17, 981196800
3, 513, 100036608, 0, 52, 17, 981196800
4, 241, 100036608, 0, 52, 17, 981196800
5, 367, 100048896, 0, 52, 17, 981196800
6, 551, 100048896, 0, 52, 17, 981196800
7, 711, 100073472, 65.1139, 52, 17, 981196800
8, 487, 100073472, 0, 52, 17, 981196800
9, 685, 100073472, 0, 52, 17, 981196800
10, 421, 100073472, 0, 52, 17, 981196800
11, 648, 100073472, 0, 52, 17, 981196800
12, 811, 100073472, 0, 52, 17, 981196800
13, 605, 100073472, 0, 52, 17, 981196800
14, 786, 100073472, 0, 52, 17, 981196800
15, 666, 100089856, 0, 52, 17, 981196800
16, 575, 100089856, 0, 52, 17, 981196800
17, 855, 100089856, 0, 52, 17, 981196800
18, 801, 100089856, 129.832, 52, 17, 981196800
19, 827, 100089856, 0, 52, 17, 981196800
20, 858, 100089856, 0, 52, 17, 981196800
21, 603, 100089856, 0, 52, 17, 981196800
22, 736, 100089856, 0, 52, 17, 981196800
23, 793, 100089856, 0, 52, 17, 981196800
24, 800, 100089856, 0, 52, 17, 981196800
25, 694, 100507648, 0, 52, 17, 981196800
26, 57, 101343232, 26.0495, 52, 17, 981196800
27, 206, 101343232, 0, 52, 17, 981196800
28, 88, 101433344, 0, 52, 17, 981196800
29, 28, 101437440, 8.68281, 52, 17, 981196800
30, 64, 101437440, 15.3186, 52, 17, 981196800
31, 59, 101437440, 0, 52, 17, 981196800
32, 62, 101437440, 0, 52, 17, 981196800
33, 57, 101437440, 0, 52, 17, 981196800
34, 50, 101437440, 0, 52, 17, 981196800
35, 78, 101437440, 0, 52, 17, 981196800
36, 53, 101437440, 0, 52, 17, 982016000
37, 51, 101437440, 0, 52, 17, 982016000
38, 66, 101437440, 0, 52, 17, 982016000
39, 60, 101437440, 0, 52, 17, 989171712
40, 70, 101437440, 0, 52, 17, 989302784
41, 58, 101437440, 0, 52, 17, 989302784
42, 62, 101437440, 0, 52, 17, 989302784
43, 60, 101437440, 0, 52, 17, 989302784
44, 43, 101437440, 9.30372, 52, 17, 989302784
45, 81, 101437440, 8.13955, 52, 17, 989302784
46, 68, 101437440, 7.65747, 52, 17, 989302784
47, 57, 101437440, 0, 52, 17, 989302784
48, 59, 101437440, 0, 52, 17, 989302784
49, 58, 101437440, 0, 52, 17, 990691328
50, 57, 101437440, 0, 52, 6, 990691328
51, 68, 101437440, 0, 52, 6, 1012711424
52, 58, 101437440, 0, 52, 6, 1014824960
53, 60, 101437440, 0, 52, 6, 1014824960
54, 62, 101437440, 0, 52, 6, 1017970688
55, 60, 101437440, 0, 52, 6, 1017962496
56, 58, 101437440, 0, 52, 6, 1018077184
57, 61, 101437440, 0, 52, 6, 1018064896
58, 59, 101437440, 0, 52, 6, 1018064896
59, 58, 101437440, 0, 52, 6, 1018130432
60, 61, 101437440, 0, 52, 6, 1018130432
61, 58, 101437440, 7.66067, 52, 6, 1018130432
62, 60, 101437440, 0, 52, 6, 1018130432
63, 58, 101437440, 0, 52, 6, 1018130432
64, 61, 101437440, 0, 52, 6, 1018130432
65, 60, 101437440, 0, 52, 6, 1018130432
66, 60, 101437440, 0, 52, 6, 1018130432
67, 60, 101437440, 0, 52, 6, 1018130432
68, 60, 101437440, 0, 52, 6, 1018130432
69, 60, 101437440, 0, 52, 6, 1018130432
70, 59, 101437440, 0, 52, 6, 1018130432
71, 60, 101437440, 0, 52, 6, 1018130432
72, 60, 101437440, 0, 52, 6, 1018130432
73, 59, 101437440, 0, 52, 6, 1018130432
74, 59, 101437440, 0, 52, 6, 1018130432
75, 59, 101437440, 0, 52, 6, 1018130432
76, 61, 101437440, 0, 52, 6, 1018130432
77, 58, 101437440, 0, 52, 6, 1018421248
78, 53, 101437440, 0, 52, 6, 1018847232
79, 67, 101437440, 0, 52, 6, 1018847232
80, 62, 101437440, 0, 52, 6, 1018847232
81, 58, 101437440, 0, 52, 6, 1018847232
82, 60, 101437440, 0, 52, 6, 1018847232
83, 61, 101437440, 0, 52, 6, 1018847232
84, 60, 101437440, 0, 52, 6, 1018847232
85, 57, 101437440, 0, 52, 6, 1023340544
86, 60, 101437440, 0, 52, 6, 1023340544
87, 60, 101437440, 0, 52, 6, 1023340544
88, 60, 101437440, 0, 52, 6, 1023340544
89, 54, 101441536, 7.87614, 52, 6, 1023340544
90, 64, 101441536, 8.10752, 52, 6, 1023340544
91, 59, 101441536, 15.2725, 52, 6, 1023340544
92, 61, 101441536, 0, 52, 6, 1023471616
93, 59, 101441536, 0, 52, 6, 1023471616
94, 58, 101441536, 0, 52, 6, 1023471616
95, 62, 101441536, 0, 52, 6, 1024077824
96, 57, 101441536, 0, 52, 6, 1024077824
97, 59, 101441536, 0, 52, 6, 1024602112
98, 60, 101441536, 0, 52, 6, 1024602112
99, 54, 101449728, 0, 52, 6, 1024864256
100, 65, 101449728, 0, 52, 6, 1024929792
