Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 100057088, 4.25533, 52, 18, 980541440
2, 191, 100249600, 0, 52, 18, 980541440
3, 511, 100253696, 0, 52, 18, 980541440
4, 765, 100253696, 0, 52, 18, 980541440
5, 462, 100253696, 0, 52, 18, 980541440
6, 281, 100265984, 0, 52, 18, 980541440
7, 194, 100290560, 13.0203, 52, 18, 980541440
8, 74, 100290560, 0, 52, 18, 980541440
9, 448, 100290560, 0, 52, 18, 980541440
10, 279, 100290560, 32.5513, 52, 18, 980541440
11, 574, 100290560, 0, 52, 18, 980541440
12, 701, 100290560, 0, 52, 18, 980541440
13, 712, 100290560, 0, 52, 18, 980541440
14, 601, 100290560, 0, 52, 18, 980541440
15, 51, 100724736, 0, 52, 18, 980541440
16, 236, 101568512, 0, 52, 18, 980541440
17, 164, 101568512, 0, 52, 18, 980541440
18, 161, 101634048, 0, 52, 18, 980541440
19, 29, 101638144, 7.65873, 52, 18, 980541440
20, 58, 101638144, 0, 52, 18, 980541440
21, 63, 101638144, 0, 52, 18, 980541440
22, 58, 101638144, 0, 52, 18, 980541440
23, 46, 101638144, 0, 52, 18, 980541440
24, 73, 101638144, 0, 52, 18, 980541440
25, 65, 101638144, 0, 52, 18, 980541440
26, 61, 101638144, 0, 52, 18, 980541440
27, 59, 101638144, 0, 52, 18, 980541440
28, 60, 101638144, 0, 52, 18, 980541440
29, 55, 101638144, 0, 52, 18, 981360640
30, 66, 101638144, 0, 52, 18, 981360640
31, 50, 101638144, 0, 52, 18, 981360640
32, 68, 101638144, 0, 52, 18, 988516352
33, 53, 101638144, 0, 52, 18, 988647424
34, 69, 101638144, 7.65927, 52, 18, 988647424
35, 58, 101638144, 8.13736, 52, 18, 988647424
36, 61, 101638144, 0, 52, 18, 988647424
37, 61, 101638144, 0, 52, 18, 988647424
38, 59, 101638144, 0, 52, 18, 988647424
39, 59, 101638144, 0, 52, 18, 988647424
40, 56, 101638144, 0, 52, 18, 988647424
41, 66, 101638144, 0, 52, 18, 999866368
42, 58, 101638144, 0, 52, 18, 999866368
43, 60, 101638144, 0, 52, 18, 1012056064
44, 57, 101638144, 0, 52, 18, 1014169600
45, 63, 101638144, 0, 52, 18, 1014169600
46, 59, 101638144, 0, 52, 18, 1014169600
47, 62, 101638144, 0, 52, 18, 1015218176
48, 58, 101638144, 0, 52, 18, 1017487360
49, 60, 101638144, 7.659, 52, 18, 1017487360
50, 59, 101638144, 8.13853, 52, 18, 1017487360
51, 62, 101638144, 0, 52, 18, 1017475072
52, 57, 101638144, 0, 52, 18, 1017475072
53, 62, 101638144, 0, 52, 18, 1017475072
54, 59, 101638144, 0, 52, 18, 1017475072
55, 62, 101638144, 0, 52, 18, 1017475072
56, 57, 101638144, 0, 52, 18, 1017475072
57, 61, 101638144, 0, 52, 18, 1017475072
58, 58, 101638144, 0, 52, 18, 1017475072
59, 56, 101638144, 0, 52, 3, 1021960192
60, 64, 101638144, 0, 52, 3, 1021997056
61, 60, 101638144, 0, 52, 3, 1021997056
62, 59, 101638144, 0, 52, 3, 1022357504
63, 60, 101638144, 0, 52, 3, 1022488576
