Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 152195072, 7.30506, 53, 14, 1143361536
2, 66, 152440832, 16.2661, 53, 14, 1143963648
3, 120, 152875008, 0, 53, 14, 1143963648
4, 57, 152879104, 0, 53, 14, 1143963648
5, 60, 152883200, 0, 53, 14, 1143963648
6, 34, 152883200, 0, 53, 14, 1143963648
7, 47, 152883200, 0, 53, 14, 1143963648
8, 30, 152965120, 0, 53, 14, 1143963648
9, 58, 152969216, 8.13512, 53, 14, 1143963648
10, 63, 152969216, 0, 53, 14, 1143963648
11, 59, 152969216, 0, 53, 14, 1143963648
12, 59, 152969216, 0, 53, 14, 1143963648
13, 60, 152969216, 0, 53, 14, 1143963648
14, 60, 152969216, 0, 53, 14, 1143963648
15, 57, 152969216, 0, 53, 14, 1143963648
16, 60, 152985600, 0, 53, 14, 1143963648
17, 51, 152985600, 0, 53, 14, 1143963648
18, 69, 152985600, 0, 53, 14, 1143963648
19, 44, 152985600, 0, 53, 14, 1143963648
20, 93, 153202688, 0, 53, 14, 1143963648
21, 64, 153202688, 0, 53, 14, 1143963648
22, 59, 153202688, 0, 53, 14, 1143963648
23, 59, 153202688, 7.65972, 53, 14, 1143963648
24, 60, 153202688, 7.23319, 53, 14, 1143963648
25, 56, 153202688, 0, 53, 14, 1143963648
26, 60, 153202688, 0, 53, 14, 1134919680
27, 60, 153202688, 0, 53, 14, 1134592000
28, 55, 153202688, 0, 53, 14, 1134592000
29, 67, 153202688, 0, 53, 14, 1134592000
30, 61, 153202688, 0, 53, 14, 1134592000
31, 60, 153202688, 0, 53, 14, 1134592000
32, 59, 153202688, 0, 53, 14, 1134592000
33, 52, 153219072, 0, 53, 14, 1135398912
34, 61, 153219072, 0, 53, 14, 1135411200
35, 62, 153219072, 0, 53, 14, 1135411200
36, 55, 153219072, 7.66112, 53, 14, 1137647616
37, 63, 153219072, 7.65958, 53, 14, 1142697984
38, 56, 153219072, 16.2758, 53, 14, 1142697984
39, 58, 153219072, 0, 53, 14, 1142697984
40, 61, 153219072, 0, 53, 14, 1142697984
41, 60, 153219072, 0, 53, 14, 1142697984
42, 58, 153219072, 0, 53, 14, 1142697984
43, 66, 153219072, 0, 53, 14, 1142697984
44, 60, 153219072, 0, 53, 14, 1142697984
45, 57, 153219072, 0, 53, 14, 1142775808
46, 63, 153219072, 0, 53, 14, 1168269312
47, 65, 153219072, 0, 53, 14, 1170382848
48, 59, 153219072, 0, 53, 14, 1170382848
49, 59, 153219072, 0, 53, 14, 1170382848
50, 61, 153219072, 0, 53, 14, 1170382848
51, 60, 153219072, 0, 53, 14, 1170382848
52, 59, 153219072, 0, 53, 14, 1171431424
53, 59, 153219072, 8.13914, 53, 14, 1171537920
54, 59, 153219072, 7.6594, 53, 14, 1171525632
55, 59, 153219072, 0, 53, 22, 1171591168
56, 55, 153219072, 0, 53, 22, 1171591168
57, 63, 153219072, 0, 53, 22, 1171591168
58, 62, 153219072, 0, 53, 22, 1171591168
59, 60, 153219072, 0, 53, 22, 1171591168
60, 59, 153219072, 0, 53, 22, 1171591168
61, 60, 153219072, 0, 53, 22, 1171591168
62, 60, 153219072, 0, 53, 22, 1171591168
63, 61, 153219072, 0, 53, 22, 1171591168
64, 59, 153219072, 0, 53, 22, 1171591168
65, 58, 153219072, 0, 53, 22, 1171591168
66, 62, 153219072, 0, 53, 22, 1176076288
67, 57, 153219072, 0, 53, 22, 1176473600
68, 61, 153219072, 4.48926, 53, 22, 1176604672
69, 34, 153219072, 0, 53, 22, 1176604672
70, 192, 153219072, 0, 53, 22, 1176604672
71, 65, 153219072, 0, 53, 22, 1176604672
72, 57, 153219072, 0, 53, 22, 1176604672
73, 62, 153219072, 0, 53, 22, 1176735744
74, 58, 153219072, 0, 53, 22, 1176735744
75, 60, 153219072, 0, 53, 22, 1176735744
76, 61, 153219072, 0, 53, 22, 1176735744
77, 54, 153219072, 0, 53, 22, 1177174016
78, 62, 153219072, 0, 53, 22, 1177174016
79, 63, 153219072, 0, 53, 22, 1177829376
80, 56, 153219072, 0, 53, 22, 1178259456
81, 61, 153219072, 0, 53, 22, 1178259456
82, 55, 153219072, 14.4663, 54, 22, 1178521600
83, 57, 153219072, 0, 54, 22, 1178587136
84, 66, 153219072, 22.9766, 54, 22, 1178587136
85, 62, 153219072, 0, 54, 22, 1178587136
86, 57, 153219072, 0, 54, 22, 1178587136
87, 63, 153219072, 0, 54, 22, 1178587136
88, 60, 153219072, 0, 54, 22, 1178587136
89, 59, 153219072, 0, 54, 22, 1178587136
90, 61, 153219072, 0, 54, 22, 1178587136
91, 59, 153219072, 0, 54, 22, 1178587136
92, 59, 153219072, 0, 54, 22, 1178652672
93, 59, 153219072, 0, 54, 22, 1178652672
94, 59, 153219072, 0, 54, 22, 1178652672
95, 61, 153219072, 0, 54, 22, 1178652672
96, 59, 153219072, 0, 54, 22, 1178652672
97, 60, 153227264, 0, 54, 22, 1178652672
