Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 0, 152240128, 8.93937, 53, 18, 1132417024
2, 45, 152498176, 0, 53, 18, 1132494848
3, 138, 152924160, 0, 53, 18, 1132494848
4, 84, 152924160, 0, 53, 18, 1132494848
5, 60, 152928256, 0, 53, 18, 1132494848
6, 60, 152928256, 0, 53, 18, 1132494848
7, 33, 152928256, 0, 53, 18, 1132494848
8, 48, 152948736, 0, 53, 18, 1132494848
9, 30, 153010176, 0, 53, 18, 1132494848
10, 59, 153014272, 0, 53, 18, 1132494848
11, 62, 153014272, 0, 53, 18, 1132494848
12, 59, 153014272, 0, 53, 18, 1132494848
13, 59, 153014272, 0, 53, 18, 1132494848
14, 60, 153014272, 0, 53, 18, 1132494848
15, 57, 153014272, 0, 53, 18, 1133314048
16, 41, 153030656, 0, 53, 18, 1133314048
17, 114, 153030656, 0, 53, 18, 1133314048
18, 60, 153030656, 0, 53, 18, 1137651712
19, 57, 153030656, 11.3223, 53, 18, 1140600832
20, 45, 153030656, 12.3724, 53, 18, 1140600832
21, 96, 153243648, 0, 53, 18, 1140600832
22, 60, 153243648, 0, 53, 18, 1140600832
23, 60, 153243648, 0, 53, 18, 1140600832
24, 58, 153243648, 0, 53, 18, 1140600832
25, 60, 153243648, 0, 53, 18, 1140600832
26, 59, 153243648, 0, 53, 18, 1151950848
27, 59, 153243648, 0, 54, 18, 1151950848
28, 55, 153243648, 0, 54, 18, 1164009472
29, 65, 153243648, 0, 54, 18, 1166123008
30, 60, 153243648, 0, 54, 18, 1166123008
31, 61, 153243648, 0, 54, 18, 1167171584
32, 57, 153243648, 0, 54, 18, 1169268736
33, 61, 153243648, 0, 54, 18, 1169375232
34, 61, 153243648, 0, 54, 15, 1169375232
35, 59, 153243648, 15.1986, 54, 15, 1169428480
36, 59, 153243648, 8.35381, 54, 15, 1169428480
37, 61, 153243648, 0, 54, 15, 1169428480
38, 61, 153243648, 0, 54, 15, 1169428480
39, 60, 153243648, 0, 54, 15, 1169428480
40, 56, 153243648, 0, 54, 15, 1169428480
41, 62, 153243648, 0, 54, 15, 1169428480
42, 58, 153243648, 0, 54, 15, 1169428480
43, 61, 153243648, 0, 54, 15, 1169428480
44, 57, 153243648, 0, 54, 15, 1169428480
45, 60, 153243648, 0, 54, 15, 1169457152
46, 61, 153243648, 0, 54, 15, 1173913600
47, 60, 153243648, 0, 54, 15, 1173950464
48, 58, 153243648, 0, 54, 15, 1174310912
49, 57, 153243648, 4.6498, 54, 15, 1174441984
50, 35, 153243648, 0, 54, 15, 1174441984
51, 179, 153243648, 0, 54, 15, 1174441984
52, 64, 153243648, 0, 54, 15, 1174441984
53, 60, 153243648, 0, 54, 15, 1174573056
54, 58, 153243648, 0, 54, 15, 1174573056
55, 61, 153243648, 0, 54, 15, 1174573056
56, 56, 153243648, 0, 54, 15, 1175048192
57, 64, 153243648, 0, 54, 15, 1175048192
58, 60, 153243648, 0, 54, 15, 1175048192
59, 57, 153243648, 0, 54, 15, 1176096768
60, 61, 153243648, 0, 54, 15, 1176096768
61, 62, 153243648, 0, 54, 15, 1176096768
62, 57, 153243648, 0, 54, 15, 1176358912
63, 42, 153243648, 0, 54, 15, 1176424448
64, 99, 153243648, 8.13812, 54, 15, 1176424448
65, 61, 153243648, 8.13792, 54, 15, 1176424448
66, 60, 153243648, 0, 54, 15, 1176424448
67, 62, 153243648, 0, 54, 15, 1176424448
68, 58, 153243648, 0, 54, 15, 1176424448
69, 59, 153243648, 0, 54, 15, 1176424448
70, 63, 153243648, 0, 54, 15, 1176424448
71, 58, 153243648, 0, 54, 15, 1176424448
72, 59, 153243648, 0, 54, 15, 1176489984
73, 34, 153243648, 0, 54, 15, 1176489984
74, 186, 153243648, 0, 54, 15, 1176489984
75, 65, 153243648, 0, 54, 15, 1176489984
76, 61, 153243648, 0, 54, 15, 1176489984
77, 59, 153243648, 0, 54, 15, 1176489984
78, 60, 153243648, 0, 54, 15, 1176489984
79, 59, 153243648, 0, 54, 15, 1176489984
80, 59, 153243648, 0, 54, 15, 1176489984
81, 60, 153243648, 7.59347, 54, 15, 1176489984
82, 59, 153243648, 0, 54, 15, 1176489984
83, 32, 153243648, 26.0146, 54, 15, 1176489984
84, 191, 153243648, 0, 54, 15, 1176489984
85, 66, 153243648, 0, 54, 15, 1176489984
86, 60, 153243648, 0, 54, 15, 1176489984
87, 62, 153243648, 0, 54, 15, 1176489984
88, 60, 153243648, 0, 54, 15, 1176489984
89, 59, 153243648, 0, 54, 15, 1176489984
90, 60, 153243648, 0, 54, 15, 1176489984
91, 60, 153243648, 0, 54, 15, 1176489984
92, 60, 153243648, 0, 54, 15, 1176489984
93, 60, 153243648, 0, 54, 15, 1176489984
94, 59, 153243648, 0, 54, 23, 1176489984
95, 60, 153243648, 7.23548, 54, 23, 1175900160
96, 57, 153243648, 0, 54, 23, 1175900160
97, 54, 153251840, 0, 54, 23, 1175900160
98, 68, 153251840, 0, 54, 23, 1175900160
99, 58, 153251840, 0, 54, 23, 1175900160
100, 62, 153251840, 0, 54, 23, 1175900160
101, 60, 153251840, 0, 54, 23, 1175900160
102, 60, 153251840, 0, 54, 23, 1175900160
103, 59, 153251840, 0, 54, 23, 1175900160
104, 59, 153251840, 0, 54, 23, 1175900160
105, 60, 153251840, 0, 54, 23, 1175900160
106, 59, 153251840, 0, 54, 23, 1175900160
107, 59, 153251840, 0, 54, 23, 1175900160
108, 60, 153251840, 0, 54, 23, 1175900160
109, 56, 153251840, 0, 54, 23, 1175900160
110, 60, 153251840, 7.85983, 54, 23, 1175900160
