Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
1, 1, 151498752, 8.55178, 53, 14, 1143820288
2, 39, 151764992, 0, 53, 14, 1143898112
3, 122, 152190976, 9.30099, 53, 14, 1143898112
4, 70, 152190976, 0, 53, 14, 1143898112
5, 60, 152195072, 0, 53, 14, 1143898112
6, 34, 152195072, 19.5299, 53, 14, 1143898112
7, 50, 152195072, 0, 53, 14, 1143898112
8, 28, 152276992, 0, 53, 14, 1143898112
9, 60, 152281088, 0, 53, 14, 1143898112
10, 62, 152281088, 0, 53, 14, 1143898112
11, 60, 152281088, 0, 53, 14, 1143898112
12, 58, 152281088, 0, 53, 14, 1143898112
13, 62, 152281088, 0, 53, 14, 1143898112
14, 48, 152281088, 0, 53, 14, 1143898112
15, 70, 152281088, 0, 53, 14, 1144717312
16, 50, 152297472, 0, 53, 14, 1144717312
17, 58, 152297472, 8.96937, 53, 14, 1144717312
18, 66, 152297472, 0, 53, 14, 1151873024
19, 71, 152297472, 6.85336, 53, 14, 1152004096
20, 51, 152514560, 0, 53, 14, 1152004096
21, 79, 152514560, 0, 53, 14, 1152004096
22, 59, 152514560, 0, 53, 14, 1152004096
23, 54, 152514560, 0, 53, 14, 1152004096
24, 67, 152514560, 0, 53, 14, 1152004096
25, 56, 152514560, 0, 53, 14, 1152004096
26, 59, 152514560, 0, 53, 14, 1153392640
27, 63, 152514560, 0, 53, 14, 1153392640
28, 53, 152514560, 0, 53, 14, 1175412736
29, 65, 152514560, 0, 53, 14, 1177526272
30, 59, 152514560, 0, 53, 14, 1177526272
31, 63, 152514560, 0, 53, 14, 1180672000
32, 58, 152514560, 0, 53, 14, 1180672000
33, 58, 152514560, 0, 53, 14, 1180778496
34, 60, 152514560, 16.2287, 53, 14, 1180778496
35, 62, 152514560, 0, 53, 14, 1180778496
36, 60, 152514560, 0, 53, 14, 1180766208
37, 60, 152514560, 0, 53, 14, 1180766208
38, 61, 152514560, 0, 53, 14, 1180766208
39, 59, 152514560, 0, 53, 14, 1180831744
40, 59, 152514560, 0, 53, 14, 1180831744
